,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
sub_topic_0,0.17223042,0.00028650786,0.0006134076,0.001685196,9.391939e-05,0.0010353861,9.336877e-05,7.1226576e-05,0.0003527647,0.0018606847
sub_topic_1,0.00040243447,0.0010080988,0.00069361617,0.00018276808,0.0005765261,0.002392653,0.00051699736,0.10659033,0.002163212,0.0011055786
sub_topic_2,0.12076089,0.0015664699,0.010518606,0.00050538196,0.012316114,0.015468136,5.6915393e-05,0.0151404785,0.0048203333,0.0048089973
sub_topic_3,0.0006392042,0.00022923297,0.0007167637,7.304497e-05,0.00010705465,0.000299971,0.00025602727,0.0009468756,0.33526957,8.865697e-05
sub_topic_4,0.47593752,0.00027254046,0.0027107133,0.00015651496,9.771668e-05,0.0005804614,0.000111903304,0.0006762497,0.0005563345,0.00034436985
sub_topic_5,0.034779157,0.000839417,0.08598955,0.0009080585,0.00013051533,0.030229783,0.00013266293,0.0021870509,0.0003391458,0.0060699587
sub_topic_6,0.00018738509,0.00672767,0.00059571076,0.0004707429,7.658127e-05,0.0006586078,0.40251988,5.740869e-05,0.00016936485,0.0009851385
sub_topic_7,0.00212953,0.002648897,0.0048389635,0.0008174831,0.2595661,0.001042506,0.00032444415,0.0036785554,0.00798352,0.0012271736
sub_topic_8,0.0002165695,0.0002230795,0.00021572782,0.00015230937,0.0002250256,0.00093463814,0.00025811547,0.0002988653,9.045703e-05,0.2135695
sub_topic_9,0.00088044663,0.00053199066,0.00018850135,3.6203255e-05,0.00015506514,4.5900124e-05,4.8266505e-05,0.0028358272,0.21498783,0.00056693127
sub_topic_10,4.504169e-05,7.72562e-05,3.574274e-05,1.8993223e-05,0.26577336,4.0067596e-05,8.567641e-05,0.00045891467,0.00031984286,0.003955552
sub_topic_11,0.009428624,0.00029408073,0.0047356,0.005002073,0.00041128267,0.045246538,0.000121709294,0.00080219284,0.00012843052,0.089017406
sub_topic_12,0.0035921806,0.0014504155,0.0012426481,6.6179775e-05,5.998326e-05,0.00041182924,5.8281832e-05,0.13152353,0.00028854195,4.9527556e-05
sub_topic_13,0.0002050963,9.138102e-05,0.00023244909,0.0025435623,1.8345541e-05,0.020046199,3.208276e-05,0.00014906781,0.014640653,4.655261e-05
sub_topic_14,0.0018999925,0.00073522347,0.003378317,0.094393864,0.0022265108,0.00023880224,0.003441797,0.00016679398,0.0034086343,0.0005753687
sub_topic_15,0.0032537568,0.00699198,0.0086942315,0.060767703,0.00025908442,0.0019467911,0.019614141,0.00047644193,0.0016801684,0.007862001
sub_topic_16,7.790164e-05,0.0018981918,0.0002747332,9.6354015e-05,0.0007773741,0.00021464379,0.15084128,6.236181e-05,7.632021e-05,0.0006906368
sub_topic_17,0.004789439,0.008460524,0.0052702967,0.0059710275,0.07679607,0.004890467,0.0013957113,0.0033973982,0.1363958,0.001379051
sub_topic_18,9.500718e-05,0.00095392676,0.00027049633,0.00014943909,2.9892502e-05,0.00011344096,0.0040603406,4.7636015e-05,5.467348e-05,0.1652186
sub_topic_19,4.018573e-05,0.000148832,9.775565e-05,0.0004676917,1.797422e-05,0.32447708,0.00018816868,0.000121229015,2.8682094e-05,0.00023205235
sub_topic_20,0.15658739,0.00021612506,0.0002454993,7.813761e-05,0.0006784721,0.00013735436,5.553084e-05,0.00063121546,0.0016739796,0.0007501594
sub_topic_21,0.00067752635,0.00014464612,0.000996385,0.083367646,0.00068680797,0.011716859,4.4575958e-05,0.0027560506,0.0010004588,0.003177785
sub_topic_22,0.00040388427,0.00023671989,0.0006706859,0.24420692,6.162251e-05,0.0004816163,0.0010577426,0.00024022826,5.525726e-05,0.002308082
sub_topic_23,0.0015672545,0.0034676618,0.0013110971,0.00014789042,0.0025478648,0.0008301486,0.00021194042,0.15403934,0.0030983246,0.011256984
