,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
sub_topic_0,0.1543442,0.00033169863,0.0012532612,0.004546907,6.0792754e-05,0.0021928835,0.0005865232,6.193028e-05,1.0932289e-05,0.0028648188,0.001636757,0.00014091314,5.3550928e-05,0.0012827368,0.0006282224
sub_topic_1,0.022208517,0.0014216966,0.013127992,0.007543857,0.0049439413,0.014680132,0.0025229936,0.0036003215,0.0030520454,0.023197053,0.004671903,0.031137044,0.000110129586,0.0080814995,0.0032732738
sub_topic_2,0.026561337,0.0013095256,0.009065054,0.00040630638,0.021463728,0.003551222,0.0028663531,0.015074761,0.009542811,0.0018567218,0.0018945934,0.018854128,2.8501549e-05,0.0073272684,0.0016827824
sub_topic_3,0.00024596966,0.0003010962,0.00050656387,2.6998383e-05,1.0804412e-05,9.686305e-05,5.5932058e-05,0.00046376578,5.5403623e-05,7.983897e-05,0.66320753,0.00088844256,3.9149683e-05,6.990319e-05,0.00068201806
sub_topic_4,0.5002015,9.732146e-05,0.0021237568,5.570884e-05,2.180381e-05,0.00036716365,0.0003112078,0.0011731952,8.346864e-05,0.00031304822,0.00046140247,0.00018904025,9.809975e-06,0.00043861568,0.00017937763
sub_topic_5,0.014869603,0.000672906,0.13818999,0.002338834,2.6828837e-05,0.022676721,0.0058615613,0.0041175894,5.5962424e-05,0.0031680088,0.0041544884,0.000297606,1.0155113e-05,0.002808363,0.0022210206
sub_topic_6,5.5710436e-05,0.0038638136,0.00020869827,0.000312056,0.00012418053,0.00019505415,0.000812933,9.012601e-05,6.0881997e-05,0.00042893336,0.00028625608,5.9885165e-06,0.41719472,0.00021505024,0.0004808407
sub_topic_7,0.00062668667,0.00042393306,0.0013323313,0.0002077091,0.40319046,0.00024398271,0.00018045386,0.0016887769,0.0006127199,0.0007331202,0.0011330738,0.0011540264,8.201755e-05,0.0024648882,9.874313e-05
sub_topic_8,0.000106910906,0.00022537618,9.528128e-05,4.0976265e-05,4.180651e-05,0.000117238735,0.45347834,9.6398326e-05,1.6201284e-05,0.0009986999,5.065209e-05,1.833366e-05,5.371044e-05,0.00051803753,0.00015302969
sub_topic_9,0.00059523,0.010843752,0.0011081842,8.711476e-05,5.4283646e-05,0.0002242533,0.00092215947,0.016980745,7.979372e-05,0.0024139646,0.0042716726,0.012518609,0.00014745469,0.000672336,0.2878391
sub_topic_10,0.00016490566,0.00011303493,8.3292245e-05,5.56662e-05,1.5469492e-05,0.00012277266,0.00024342083,0.000100544756,2.5922693e-05,0.0026314172,0.00017045159,0.00041031622,2.1934628e-05,0.95604306,0.00029285214
sub_topic_11,0.0003314696,0.00018158215,0.0011133101,0.5599574,9.496233e-06,0.0005285436,0.00020531066,5.0571114e-05,6.0486396e-05,0.00068541156,0.000120569624,3.27918e-05,8.8394976e-05,0.00010962638,0.00020398512
sub_topic_12,0.000114069495,0.0004653628,0.00014721928,3.9960614e-05,3.456472e-05,0.0002491154,7.678701e-05,0.27127746,8.155946e-05,4.9208567e-05,0.0007609658,0.00075809157,1.4454064e-05,8.727899e-05,0.0007041055
sub_topic_13,9.126417e-05,8.524977e-05,0.0001635453,0.0007337533,1.8134094e-06,0.0010583595,0.51323223,0.000100091056,9.818856e-05,0.0005223337,5.771583e-05,0.00010506196,1.8296256e-05,0.00024288187,0.00020765711
sub_topic_14,0.0013900348,0.0007882499,0.0017570534,0.0019506821,0.004136606,0.00072285905,0.00086244993,0.0016320697,0.39223176,0.0006580562,0.0003830209,0.0008668998,0.0012794415,0.0018829305,0.00065696094
sub_topic_15,0.0005019503,0.007788028,0.00096441864,0.0014312144,5.8369842e-05,0.00044433703,0.0010655227,0.0025593438,4.5526685e-05,0.0035595384,0.0014025229,0.0002196116,0.0030478833,0.0006250631,0.13994676
sub_topic_16,0.00085700833,0.01313422,0.0035669063,0.0012050141,0.00012238862,0.0018902693,0.00622474,0.0010550229,0.00010157841,0.015904691,0.0022105111,1.9512105e-05,0.12767747,0.0013892507,0.0027931165
sub_topic_17,0.2653201,0.000101529324,0.00021065937,0.0004256937,2.5135108e-05,0.0002165655,7.9222526e-05,8.744456e-05,0.00013523133,0.0005746696,0.0013250288,0.0003336206,3.8789123e-05,0.00029997056,0.00014646909
sub_topic_18,0.000354573,0.00429498,0.0018563444,0.0014820527,4.663909e-05,0.00040548737,0.0021204255,0.00015207595,2.8648814e-05,0.0599318,0.0008780698,2.1270178e-05,0.0718648,0.00019635815,0.0016706849
sub_topic_19,4.9019767e-05,6.893838e-05,0.00010424271,0.0005736587,1.3593454e-05,0.40167847,7.068114e-05,0.000106485815,1.729104e-05,0.00026025536,9.3510134e-05,5.004182e-05,8.345046e-05,5.069711e-05,5.318442e-05
sub_topic_20,0.0006320321,0.00043615946,0.0011817005,0.00013270028,0.0007676772,0.00012455993,0.000121877245,0.00068211526,0.00048664937,0.0014840785,0.004707622,0.6316592,1.24711905e-05,0.0016708258,0.0023419634
sub_topic_21,2.2838067e-05,5.4227738e-05,8.261395e-05,0.009316874,1.1010499e-05,0.0023506572,2.8855382e-05,0.17978013,7.365941e-05,2.1568974e-05,0.0007927381,0.00078817894,8.82485e-06,5.9307036e-05,0.00023961256
sub_topic_22,0.0003064937,0.00018785201,0.00017331916,0.00010474772,5.992744e-06,0.0004047778,6.546453e-05,5.80017e-05,1.1492607e-05,0.00026157754,0.29467312,4.6569377e-05,0.00021458189,7.972283e-05,0.00010879402
sub_topic_23,0.00018817506,0.004830647,6.1216255e-05,3.3231074e-05,2.0464317e-05,0.0005230656,0.00018984632,0.19428025,9.923543e-05,0.00023101813,0.00072030944,0.00046352218,6.557804e-06,0.000108174085,0.0014337049
sub_topic_24,0.00018023147,0.00010898573,0.0004989315,0.1802325,4.0077706e-05,0.003540594,0.00037237085,0.0014262897,5.0048002e-05,0.0013317618,0.00059278356,0.0014077352,8.805893e-05,0.00085452275,0.00117567
sub_topic_25,0.001639786,0.00069118396,0.0015765567,0.002065736,0.0011641197,0.0012735329,0.00057382474,0.0022226032,0.57992077,0.00042848996,0.0003300805,0.0008752281,0.00028505712,0.001014174,0.00030761198
sub_topic_26,0.00017011362,0.00014563024,0.00012843985,0.00014201464,2.4805644e-05,0.00018726538,0.00043568225,7.983021e-05,3.8515022e-06,0.8654115,0.00012640367,0.00012557172,1.4476557e-05,0.0017022275,0.00023952995
