,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19
sub_topic_0,0.00020064742,0.00010378124,4.9624796e-05,1.5774453e-05,4.619372e-06,7.428577e-05,0.00037372703,7.2709474e-05,2.761963e-05,0.0012646973,0.00025247224,0.00021503965,2.1927111e-05,2.1999798e-05,0.00031975497,0.92167926,6.79993e-05,2.5296125e-05,5.5734774e-05,4.089237e-06
sub_topic_1,0.0047937767,0.0010271973,0.00615237,0.00050710194,0.0020459366,0.0006659647,0.001203122,0.0014881855,0.0015182517,0.012197836,0.004073406,0.025295606,0.001299242,0.0007740748,0.006236856,0.0077497493,0.052366458,0.00011039971,0.0067665046,0.00041882411
sub_topic_2,0.001778231,0.0013624589,0.0019872591,0.00013181288,0.011322966,0.0006230693,0.002573245,0.0017022312,0.002172754,0.0013141569,0.0006147254,0.0051214765,0.001005531,0.16864502,0.00058529,0.0011438804,0.00093414943,0.00013268185,0.00038698962,0.00046028447
sub_topic_3,0.00018025817,0.00020420925,0.0003495866,7.421346e-05,3.039568e-06,0.00016480999,3.3099077e-05,0.00041274962,6.08043e-05,6.218699e-05,0.9403018,0.0001588936,3.799096e-06,7.724684e-06,0.00019009695,0.00011594074,6.137035e-05,0.00021800319,2.0405616e-05,3.6159574e-06
sub_topic_4,0.88543874,7.389236e-05,0.0005767013,4.0863528e-05,7.3830847e-06,0.00012920269,0.00019797983,0.0002631788,9.431556e-05,0.00020219556,0.00074723206,0.00013292304,1.9959938e-05,8.39117e-06,3.50853e-05,0.00036992136,9.190491e-05,1.0359389e-05,8.294023e-05,2.1378766e-05
sub_topic_5,0.01647454,0.0011864824,0.042867593,0.001710136,3.9028837e-05,0.0674531,0.0074172295,0.0012388959,0.00013006634,0.018491061,0.008085703,0.000111547044,0.00020568586,6.300351e-06,0.00031757163,0.013303539,0.008249183,7.7206525e-05,0.024829006,9.913709e-05
sub_topic_6,9.3611874e-05,0.00743074,0.00043333482,0.0003528492,4.1408748e-05,0.00010782374,0.00054076867,0.0001013485,7.570637e-06,0.0009275393,0.00044258754,2.36829e-06,0.0027458235,2.145473e-05,0.00050573173,0.00027299358,0.0008866327,0.7814375,0.0001436002,0.00022134677
sub_topic_7,0.0005735635,0.0002743377,0.0007940519,3.899478e-05,0.701273,0.00012558818,0.0003384143,0.00086862413,0.00032427977,0.0004597531,0.0005882675,0.001158325,3.0211804e-05,0.0011743398,0.00018959481,0.0004016682,0.0005443043,1.4785533e-05,0.00015791415,0.0003913274
sub_topic_8,6.224759e-05,0.00010020444,8.670322e-05,4.265665e-05,4.5227507e-06,0.00018893057,0.9151619,8.812707e-05,9.162482e-06,0.0007452756,3.370499e-05,1.1622868e-05,1.5195366e-05,8.271219e-06,7.781214e-05,0.00082532037,0.00019943257,2.5948224e-05,6.52888e-05,3.4276163e-06
sub_topic_9,6.543163e-05,7.973533e-06,7.643982e-06,0.0002597259,0.0,7.244018e-07,0.00042646713,7.0850947e-06,0.23197,3.24165e-06,0.00097171037,2.7187325e-05,8.056212e-07,1.6808828e-07,1.19425185e-05,4.928015e-06,1.5124689e-06,8.18984e-07,3.1534676e-06,0.0
sub_topic_10,0.030532917,0.0036663767,0.011132523,0.00041970678,0.009954052,0.0008713732,0.0164544,0.030524734,0.00069355196,0.0045234035,0.0017688888,0.00021240566,0.00022945998,0.0012746166,3.4843848e-05,0.0042053433,0.00061211264,0.00016844644,0.00044368254,0.008172768
sub_topic_11,0.0005043033,7.880195e-05,0.0005331552,0.00068388716,2.5815028e-05,0.0001954847,0.00013678604,6.700125e-05,3.5788467e-05,0.0009265929,7.0772076e-05,3.1634594e-05,0.0002621003,5.786375e-06,0.00030657876,0.0004562121,0.0016340913,4.8224385e-05,0.5168031,0.00090741337
sub_topic_12,2.6029948e-05,0.00016967021,0.00024439296,0.9609658,3.6471718e-08,0.00020568074,1.636102e-05,0.00020030947,6.443077e-05,2.1943058e-06,8.072676e-05,4.669025e-06,1.5497308e-05,5.489536e-06,3.7378984e-06,5.5371293e-06,0.00044591606,1.6121872e-05,7.399431e-05,7.755579e-05
sub_topic_13,0.019476023,0.0009860982,0.03252603,0.00039622703,0.00010235229,0.0056249765,0.0018604905,0.021219846,0.007707676,0.00042222644,0.01027458,0.015063167,9.975662e-06,0.00033638792,0.001059536,0.004578791,0.00022637867,1.909248e-05,0.00020534564,0.00012179541
sub_topic_14,0.0002640851,0.00029464392,0.00017093358,9.2149516e-05,0.0007711099,0.0001798468,0.0001478043,3.1700514e-05,0.006072018,0.000272455,7.020836e-05,7.2122784e-05,0.00024651992,0.0017077907,0.00058975606,0.00090280327,0.0001584916,0.019098425,0.00076694076,0.030428346
sub_topic_15,0.0011218872,0.000800879,0.0010371685,0.0041411826,8.554043e-05,0.0002452642,0.0016192636,0.0005104686,0.00034167228,0.0013362179,0.0026544346,0.00034001618,0.4489468,0.0002938484,0.0015809899,0.0005997067,0.0032394067,0.00018661655,0.0017965127,0.0015441878
sub_topic_16,0.0019576596,0.015594398,0.005985369,0.0040895883,9.782663e-06,0.0010826848,0.0026316121,0.0010068303,6.947027e-05,0.016024498,0.0028142445,4.8279276e-06,0.013669742,1.7555185e-05,0.002915956,0.0019039451,0.0043996857,0.18170673,0.0010453962,0.00040960935
sub_topic_17,0.012231413,0.002145701,0.0030221287,0.016339913,0.00020897231,0.0017405286,0.0036713346,0.01150023,0.025811955,0.00056499126,0.002326884,0.00069963146,0.0078060045,0.18221022,0.00028944042,0.0010556947,0.0027220752,0.00039054695,0.0042617284,0.0027105194
