,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24
sub_topic_0,0.00065540965,0.00015277728,0.000278374,5.1374613e-05,3.5538294e-05,0.00058786274,0.0011416164,0.00033736628,1.0032957e-05,0.0050265705,0.00040109886,0.00062230224,2.4073337e-05,0.008101646,0.0021845344,0.87360084,0.0005508047,7.3752653e-06,0.00024226376,3.0078661e-05,6.449377e-05,3.554601e-05,0.00036128474,1.49620855e-05,0.00036132196
sub_topic_1,0.00024354059,0.0002520907,0.00064792973,6.7388624e-05,7.862667e-05,0.00016242058,6.199026e-05,0.002348609,0.00011906491,0.00010664357,0.9376356,0.0014222094,3.8001053e-05,4.8361147e-05,0.0030513487,0.0004889827,0.0007161109,2.0580059e-05,7.4436684e-05,0.00019735904,2.2557711e-05,4.3652566e-05,0.0014248411,3.7926133e-05,0.0016532786
sub_topic_2,0.010021613,0.00043424687,0.0018761001,5.8865848e-05,0.0047114287,0.0018894664,0.0009945362,0.005911201,0.0029915844,0.00044570156,0.0053294864,0.34945536,8.30855e-05,0.00061634433,0.0019057072,0.010092688,0.00064262806,4.2883476e-06,0.00034335695,0.00013274295,1.9366842e-05,0.0027780768,0.00019622031,0.00014804138,0.0016211182
sub_topic_3,0.0008823185,9.506803e-05,0.00052644097,0.00051941565,1.5528076e-05,0.0001975218,0.00047215368,0.00092837965,6.783048e-05,2.315214e-05,0.0027263178,0.5721969,4.8896304e-06,4.46511e-05,0.00054616056,0.0007858951,0.00012581928,2.976284e-06,5.8311503e-05,2.0333471e-05,6.7276524e-06,0.00011963041,0.00076280173,3.800874e-06,0.00015039019
sub_topic_4,0.921924,0.00011784333,0.00026292514,5.3659085e-05,8.971395e-06,0.00021442323,0.00014608835,0.00043989168,2.6536238e-05,0.00024339941,0.00013182547,0.00017509377,3.3012042e-05,0.00017224997,3.6867208e-05,0.00041521277,0.00010079629,1.6485452e-05,0.00026980983,2.0713775e-05,2.7140888e-05,4.055854e-05,0.0014676678,4.61437e-06,7.3495234e-05
sub_topic_5,0.021632867,0.0007796085,0.055968404,0.001200483,5.5276454e-05,0.06391747,0.0055778413,0.0051370086,1.8063432e-05,0.0052051297,0.00081734644,0.0012989552,0.00015240285,0.0009141862,0.0002035824,0.015451325,0.0040277434,4.2387062e-05,0.0058560614,0.00014622296,0.00067736465,0.00011559155,0.010947215,1.6945834e-05,3.7327885e-05
sub_topic_6,6.0557806e-05,0.006467252,0.00026205243,7.648459e-05,4.9580867e-05,0.00013605092,0.00071962667,0.0001227719,1.1032084e-05,0.00051746616,4.392646e-05,0.0,0.0008192548,0.0005758379,0.00015534481,1.398563e-05,0.00025195137,0.54059273,1.3531822e-05,0.00011469201,0.00054831244,7.5665426e-05,0.0008361713,9.260578e-05,4.0905536e-05
sub_topic_7,0.00020402318,0.00020308877,0.000430068,2.3801655e-05,0.63504875,5.0201128e-05,0.00021406423,0.0006864031,0.00020051602,0.00034692604,0.00025794457,0.00022363673,2.4743018e-05,0.0007866752,6.4062275e-05,8.090829e-05,0.00046849475,1.5656653e-05,0.00011789112,0.00025121917,6.4140754e-06,0.00030278857,0.00023194627,0.00088890624,0.0016343361
sub_topic_8,3.513015e-05,6.2457075e-05,4.8893184e-05,3.630586e-05,4.251615e-06,0.00012483471,0.9497889,7.042036e-05,4.8512134e-06,0.00047821295,8.460737e-06,7.3340348e-06,1.9411491e-05,0.00017138681,5.105746e-05,0.00039133636,6.523168e-05,2.5715975e-05,1.576913e-05,8.025134e-06,4.411555e-05,8.216163e-06,2.9255154e-05,4.849843e-05,5.122856e-06
sub_topic_9,0.00035430177,0.00013847368,0.00015312144,6.390381e-05,6.256033e-07,0.00010860109,2.2600801e-05,0.00030275405,9.865493e-06,4.4241166e-05,0.0007227756,2.6705091e-05,8.983446e-06,2.9156945e-05,5.3569864e-05,2.9800885e-05,1.6536462e-05,0.00011598704,2.061418e-05,1.7014381e-05,1.4988717e-05,5.2547534e-06,0.96140677,2.6530115e-06,0.00010415817
sub_topic_10,2.5734995e-05,4.3084543e-05,1.8684459e-05,7.434864e-06,5.74451e-06,2.0272357e-05,0.000147688,3.279998e-05,1.255228e-05,0.0002234571,8.9266305e-06,3.225359e-06,1.9550474e-05,0.95530874,6.274737e-05,0.003080178,2.8988823e-05,4.6108074e-05,5.3901085e-06,6.032117e-06,2.3379209e-05,9.946672e-06,8.9851004e-05,4.7342455e-06,4.2430504e-05
sub_topic_11,0.000249389,6.807377e-05,0.00064137543,0.00025540864,4.0102546e-05,0.00025369422,0.00010056853,3.7816553e-05,1.9553783e-05,0.0007012045,3.4665172e-05,2.3470067e-05,8.9075234e-05,6.328205e-05,4.896512e-05,0.00039327523,0.0011577567,1.1624135e-05,0.881066,0.00052990473,0.0051673036,0.00016400302,0.0002501939,3.59735e-06,9.3432594e-05
sub_topic_12,3.437361e-05,0.00015160776,0.0002453107,0.98062867,0.0,0.00018414308,1.8967501e-05,0.0001580869,3.8402126e-05,1.6598199e-06,1.8945766e-05,5.6635807e-05,5.1933257e-05,5.6812555e-06,2.3994908e-06,1.9370702e-06,0.00020335661,9.939183e-06,4.414826e-05,0.0001024174,2.3656652e-05,3.7847985e-05,0.00015332657,3.9428123e-06,2.8591924e-07
sub_topic_13,3.6436456e-06,8.554379e-05,1.6560662e-05,3.9423318e-05,4.4166504e-06,0.00019018672,7.886867e-05,2.9559917e-05,1.0331052e-05,1.5007769e-05,2.271623e-05,4.825002e-07,9.5831e-06,1.3042075e-05,8.684249e-06,2.0536195e-06,0.0003873846,4.6492238e-05,4.4011693e-07,9.228475e-05,8.03853e-06,1.0906103e-05,1.9591944e-05,0.96203345,5.975644e-06
sub_topic_14,0.00042398856,0.00016476183,0.00061690866,0.00016734826,0.0001386605,7.115836e-05,0.00024570836,0.00019886887,0.00042290063,0.00016788505,8.659325e-05,0.00022930495,0.0005794756,0.00023889198,0.000121179335,9.7319025e-05,8.052883e-05,0.00017002087,0.00041090453,0.0006976774,0.0002080538,0.9722326,0.00015966491,3.0318382e-05,0.00048839505
sub_topic_15,0.00062396756,0.0010532078,0.00042132282,0.00023364779,6.7977644e-06,0.0002647035,0.00013094906,0.9129447,4.010863e-05,5.8068763e-05,0.0007582935,0.00011495953,2.796822e-05,7.504022e-05,0.00032225729,9.0673784e-05,7.5980264e-05,3.736404e-05,3.477838e-05,0.00011263775,1.753056e-05,4.853108e-05,0.0010321917,1.59377e-05,6.8000195e-06
sub_topic_16,4.2733915e-05,0.00017692345,5.1291725e-05,6.285791e-06,3.2977969e-06,2.0118694e-05,0.00011384496,3.824906e-05,9.041165e-07,0.27288166,5.8543064e-06,4.294517e-08,1.3563187e-05,7.3261326e-05,7.932518e-05,1.9978674e-05,8.939123e-06,0.0008021544,5.0047815e-06,1.3628729e-05,8.987891e-05,5.408414e-06,0.00012888663,4.8343078e-05,2.082324e-05
