,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25
sub_topic_0,0.00066767057,6.516145e-05,0.00017307691,4.4995544e-05,1.2474914e-05,0.00027967256,0.0007005647,0.00018883888,1.2148488e-05,0.0033188264,0.00015883408,0.00034478874,2.0450969e-05,0.005199039,0.002179306,0.91140074,0.0002520269,7.2698463e-06,0.00015159902,0.00016402837,3.9436327e-05,0.00013493437,0.00027106248,5.348959e-06,0.0002630526,1.2390316e-05
sub_topic_1,0.0005016195,0.0008149662,0.0031646038,0.00014498868,0.001660778,0.0001132293,0.00045534005,0.00037170018,0.0011536718,0.0014803336,0.007811807,0.00080037746,0.0016814569,0.0013076396,0.0019996692,0.0007386407,0.0021093695,0.00013162175,0.00051949016,0.0028263938,0.00012749912,0.0008255192,0.0012937923,0.00018911823,0.44650322,0.0007594437
sub_topic_2,0.0055667055,0.00033267442,0.0024147632,5.9685393e-05,0.0043987324,0.0019585053,0.0013974223,0.0053141383,0.0022376028,0.00059596426,0.00925667,0.42619565,4.545536e-05,0.0006438591,0.002793456,0.009721148,0.000310844,3.5013918e-06,0.00040376637,0.00057172077,1.5326987e-05,0.002741972,0.00019791586,0.00033652052,0.0022417281,0.00076657
sub_topic_3,0.0012286281,0.0001005278,0.0007959683,0.001081566,1.07806645e-05,0.00048685158,0.000958189,0.002145158,0.000105036605,5.9578993e-05,0.0015374698,0.53608286,9.039548e-06,0.00010040246,0.00072258763,0.0014551334,0.00010249731,7.0800406e-06,0.00010743837,0.00031174775,1.1306039e-05,0.0011164369,0.00074178004,4.248292e-06,5.213192e-05,4.976035e-05
sub_topic_4,0.020675851,0.0006859697,0.01300637,0.00031217776,0.00012981922,0.0019502648,0.0018770341,0.3724914,8.194751e-05,0.0006161478,0.0006943311,0.0043766284,9.1185764e-05,0.0010733881,0.00022713921,0.0024349347,0.00010606027,8.626007e-05,6.658316e-05,0.0027709468,3.2235712e-05,0.0106438855,0.00474168,6.77369e-05,1.4606905e-05,8.6742286e-05
sub_topic_5,4.622217e-05,2.3437571e-05,0.005837913,1.539977e-05,2.8090365e-06,9.7294505e-06,4.338177e-05,2.860557e-05,4.354907e-05,2.2640725e-05,1.1517947e-05,9.11779e-06,0.0005423002,1.3532031e-05,4.138554e-06,3.7344515e-05,0.09554075,2.9066112e-05,1.6416285e-05,2.5961348e-05,1.8565503e-05,0.00010023173,7.038259e-05,9.024453e-06,1.5320462e-05,2.0100813e-05
sub_topic_6,6.5722415e-05,0.007746145,0.00019669585,5.6000776e-05,5.7249697e-05,0.00012046051,0.00068214245,0.00018451212,6.0416673e-06,0.00049721927,2.8580664e-05,0.0,0.0012947727,0.000688187,0.00012158448,1.6075097e-05,0.00024251222,0.52352846,1.0851736e-05,0.00023414947,0.00040916918,0.0003320801,0.0009233203,0.00013841287,3.490085e-05,2.87624e-05
sub_topic_7,0.0003445894,0.00036912333,0.00056574447,2.5206458e-05,0.82134616,5.6877474e-05,0.00033423436,0.0011634767,0.00029223535,0.00045636386,0.000191721,0.00037101135,3.5983296e-05,0.0013045846,4.4160493e-05,9.337884e-05,0.00030537063,2.9655866e-05,0.0001401355,0.0006114429,5.459698e-06,0.00048000508,0.0002534423,0.0047245044,0.002909316,0.00032776996
sub_topic_8,4.655878e-05,6.65819e-05,6.432016e-05,4.1679265e-05,5.291318e-06,0.00015550548,0.9479088,8.136251e-05,5.9145846e-06,0.0006076211,6.413772e-06,1.0582991e-05,2.5287252e-05,0.00010026545,4.9548362e-05,0.00058150926,4.973188e-05,2.923031e-05,2.723314e-05,7.995219e-05,4.7449088e-05,7.963075e-05,3.765274e-05,5.4381253e-05,6.1998853e-06,3.220873e-06
sub_topic_9,0.00053676637,9.259614e-05,0.00017089675,5.626432e-05,5.231448e-07,0.00010267452,2.8071656e-05,0.00021271093,1.0212565e-05,6.0941074e-05,0.00062968966,2.1228443e-05,1.2295685e-05,2.3704002e-05,4.5390665e-05,4.516248e-05,1.7787346e-05,0.00013588397,1.34138845e-05,0.00019628048,1.7635137e-05,0.0002550825,0.9702112,2.1626086e-06,6.452915e-05,1.5181326e-06
sub_topic_10,4.6691952e-05,4.8393238e-05,2.6165399e-05,1.4701743e-05,2.2605733e-05,1.6017722e-05,0.0002065059,8.424286e-05,2.2985967e-05,0.00015964576,1.4214319e-05,1.202594e-05,2.2817829e-05,0.41712862,0.00015171959,0.014056434,4.074648e-05,7.6410535e-05,4.456871e-06,0.000104517254,1.241532e-05,4.511156e-05,0.00015100875,1.5458705e-05,8.876952e-05,1.0781657e-05
sub_topic_11,0.0005632741,6.831561e-05,0.0006279726,0.00039018292,4.01396e-05,0.00039106313,0.00017742216,3.6591427e-05,2.042165e-05,0.0009038682,4.2394466e-05,2.9925099e-05,9.838035e-05,6.1482366e-05,4.527744e-05,0.00062046817,0.0009775887,1.5791973e-05,0.9433668,0.00062586134,0.0060063405,0.000102362275,0.00026621687,4.2931915e-06,0.000115756266,0.00023291944
sub_topic_12,4.2012412e-05,8.113031e-05,0.00024552524,0.97979075,0.0,0.00023447647,1.7240478e-05,0.000117647214,4.652483e-05,1.993802e-06,1.0874205e-05,7.5266216e-05,3.7489855e-05,3.529145e-06,1.5053541e-06,5.1668376e-06,0.00028425638,6.7405763e-06,4.14439e-05,0.00025234162,2.5123109e-05,0.00014584707,0.00016280197,1.8429797e-06,5.8962e-07,6.226331e-05
sub_topic_13,7.484875e-06,6.943767e-05,1.8381937e-05,2.3968452e-05,6.302981e-05,0.00014478546,0.000109047614,3.8003956e-05,2.4075727e-05,2.4184917e-05,1.3605076e-05,2.3369373e-06,1.1019951e-05,2.9087741e-05,6.72945e-06,2.66843e-06,0.0004169284,6.1380946e-05,1.1239968e-06,0.00013264047,9.165077e-06,4.9496855e-05,2.8368733e-05,0.9845808,2.1349855e-05,2.525205e-05
sub_topic_14,0.0001711609,0.00023496037,0.000347538,5.40201e-05,0.00027583138,3.7322803e-05,0.00020626296,6.3206506e-05,0.00013187359,0.0001680706,3.7113772e-05,6.886499e-05,0.00050296285,0.0005179969,2.0507214e-05,3.8041544e-05,5.47176e-05,0.00041899347,0.0011722997,5.7859485e-05,0.0007560273,0.00018265688,7.526649e-05,4.92745e-05,0.00024469226,0.32576331
