,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26
sub_topic_0,0.0006029618,5.5864104e-05,0.00014888436,2.8398468e-05,0.00016653971,0.00017587889,0.00064949633,1.1771622e-05,1.1201313e-05,0.0035484026,0.0002224212,0.0005257967,1.2536651e-05,0.0062271697,0.0019491672,0.9093051,0.00024632868,5.402547e-06,0.00012702352,0.00016928503,2.3655302e-05,0.0001148498,0.00019752688,7.6679826e-05,0.00015199318,1.2061808e-05,0.00012580508
sub_topic_1,0.00030196767,0.00028914562,0.00056846644,2.2564602e-05,0.0004096033,1.42817e-05,0.0001403762,0.00026039226,9.453275e-05,0.0006893705,0.00754895,0.0007435997,0.00026540025,0.00094637746,0.006575234,0.001055825,0.0003056784,8.71466e-05,8.933239e-05,0.00095332466,3.8411392e-05,0.00021133758,0.0016251021,0.0001533125,0.70696574,0.00029662158,5.553026e-05
sub_topic_2,0.0019093408,0.00063178863,0.003502054,9.428362e-05,0.01014537,0.00017233421,0.00061180966,0.003915393,0.005936827,0.0021073353,0.009862538,0.008829133,0.0021553598,0.0018292849,0.0014103419,0.0028250017,0.0038658862,5.672562e-05,0.0014481193,0.002140991,8.671174e-05,0.0011679208,0.0007234282,0.0004399263,0.26592216,0.0022667963,0.00043521554
sub_topic_3,0.00039832314,6.885504e-05,0.0007868054,0.0004955443,4.446229e-05,0.00014201681,3.7191825e-05,5.447893e-06,8.797934e-05,3.741412e-05,0.0008384493,0.00016454722,2.3313543e-05,2.5236677e-05,1.960895e-05,5.1686282e-05,2.1856495e-05,4.166807e-05,2.6614483e-05,0.00019580354,8.817466e-06,0.027635355,0.1341096,0.00010627374,1.5726762e-05,7.2570424e-06,0.0018585912
sub_topic_4,0.0006059304,0.0005797783,0.0012370957,0.0002768376,9.27638e-05,0.00038722876,0.0003086182,5.99351e-05,5.5585933e-05,9.481183e-05,0.0002611451,0.00030830444,3.2534506e-05,0.00013058518,0.00012072979,0.00021030818,5.079545e-05,7.789148e-05,3.4862263e-05,0.0008419493,1.556125e-05,0.0028324674,0.0008608244,0.00022782854,6.2424e-06,3.272104e-05,0.9590194
sub_topic_5,5.4008433e-05,2.7101789e-05,0.011219349,1.6660812e-05,1.3047044e-05,9.2964365e-06,4.202416e-05,2.4865662e-06,5.0648527e-05,2.6672613e-05,1.13049755e-05,1.352347e-05,0.00096707855,1.3644812e-05,5.423026e-06,3.7391997e-05,0.043994866,4.1068077e-05,1.4343714e-05,2.5119753e-05,1.6319427e-05,0.000121669604,5.8413338e-05,0.00015619054,1.6813812e-05,2.466162e-05,4.3852415e-05
sub_topic_6,9.535952e-05,0.007894514,0.00026204193,0.00015524162,8.394477e-06,0.00014110607,0.00084508874,4.6445813e-05,1.1729607e-05,0.0011230832,2.3214461e-05,4.8658645e-08,0.003561024,0.00077016756,0.00018757982,2.4606772e-05,0.00029769243,0.75518006,1.7557308e-05,0.00018563036,0.00093443156,0.00051349023,0.0010443958,0.003886306,0.000111483976,6.225347e-05,0.00050843204
sub_topic_7,0.00032879531,0.0005103479,0.0006307018,1.3089529e-05,0.0005663008,3.7126465e-05,0.00043855223,0.910361,0.00078491826,0.0004888192,0.00025188053,0.00046802757,6.077409e-05,0.0015374535,4.807861e-05,0.00011251629,0.00031308088,5.507648e-05,0.00013798049,0.00057258515,3.646563e-06,0.0005280573,0.00028300376,0.010507702,0.0036446268,0.00035211624,0.0006850664
sub_topic_8,1.38174555e-05,5.161085e-05,2.347079e-05,1.6320688e-05,1.013403e-05,2.845732e-05,0.8727032,2.27105e-06,2.8392747e-06,0.00049756916,2.007748e-06,7.4399745e-06,1.3494549e-05,6.786567e-05,3.1501637e-05,0.00030488858,2.5315758e-05,2.9602916e-05,1.1247575e-05,3.8748687e-05,2.1939062e-05,3.9262923e-05,1.4591687e-05,0.0015490635,4.0120176e-06,1.2950271e-06,4.391944e-05
sub_topic_9,0.00048317012,0.000106727246,8.376597e-05,3.210783e-05,1.2710892e-06,0.00010194505,2.9587769e-05,7.121096e-07,3.7741256e-06,9.173585e-05,0.00058136584,2.2232944e-05,6.1369155e-06,3.083187e-05,6.7554014e-05,5.3157997e-05,1.5448384e-05,0.00018878774,9.349749e-06,0.00013039405,1.47947685e-05,9.5205745e-05,0.8385219,9.340739e-05,5.197619e-05,1.196454e-06,0.000111962516
