,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27
sub_topic_0,0.20833935,0.00036559327,0.00096535997,0.000110779336,0.00010527466,0.0036665057,0.00026498575,2.0806835e-06,1.1294639e-05,0.00080803444,0.0006087064,0.0001873817,5.74222e-05,0.00040923763,8.429317e-05,0.0022412792,0.0004886051,3.8608337e-05,0.00339715,0.00021674148,0.0006339685,0.00041038048,0.0015564994,3.613652e-05,0.00010781403,1.8184443e-05,0.00012235419,0.0014547559
sub_topic_1,0.0008871239,0.0006718192,0.0040292437,4.3253553e-05,0.0017755503,8.923201e-05,0.0002638206,0.0017849761,0.00080474996,0.00045283412,0.0859141,0.0014439613,0.0006475698,0.0010927792,0.0050376346,0.0010587112,0.0031875612,6.6445245e-05,0.0004926853,0.0044983034,4.9297116e-05,0.0005687267,0.001552029,0.00011957867,0.28677437,0.0005196088,0.00016232594,0.004237758
sub_topic_2,0.00031461375,0.00017106083,0.0021789458,2.5192508e-05,0.00012997484,0.00017301978,7.299358e-05,0.00054038584,0.00066636316,3.146571e-05,0.858218,0.003666275,2.9468385e-05,6.627824e-05,0.004029015,0.0025290097,0.00023939196,8.206541e-06,4.6095687e-05,0.001634607,6.739232e-06,0.0007653224,0.0013805919,4.1267813e-05,0.0024909005,6.373852e-05,0.0014082908,0.00013477387
sub_topic_3,0.00029673876,0.00014519444,0.00052437134,0.00022794417,1.0486212e-06,0.00010962721,6.4744374e-05,2.8372615e-06,2.3313112e-05,7.0916896e-05,0.0015703061,6.377565e-05,3.8740352e-05,0.00010010326,2.9119916e-05,3.1930063e-05,3.236313e-05,0.00017566595,2.1187745e-05,0.0003464148,2.4916302e-05,0.0025260765,0.40002057,4.87454e-05,3.576152e-05,4.2841875e-06,0.0007837741,3.1153988e-05
sub_topic_4,0.0010679136,0.0009986247,0.001956149,0.0002810123,1.5136463e-05,0.00073282013,0.00028004177,0.00012033918,8.174799e-05,5.5664288e-05,0.00048744548,0.0006153229,4.980824e-05,0.00013124227,9.9178775e-05,0.0009437995,5.482974e-05,3.2385804e-05,5.5855846e-05,0.00025061556,1.6023409e-05,0.0032877487,0.0011359535,3.3735632e-05,5.740171e-06,3.953881e-05,0.6643928,5.3011707e-05
sub_topic_5,6.954512e-05,3.7332196e-05,0.022206359,1.4914599e-05,6.7337364e-06,1.4987676e-05,4.358642e-05,2.396746e-06,3.775335e-05,2.6081374e-05,2.134565e-05,4.692536e-05,0.001677961,4.8778726e-05,1.2464888e-05,2.1807156e-05,0.02671871,4.0194536e-05,2.387687e-05,3.4316785e-05,2.3816954e-05,0.00013255495,9.159616e-05,2.5960468e-05,2.9250756e-05,2.6645217e-05,5.121623e-05,5.1504878e-05
sub_topic_6,6.665928e-05,0.00922907,0.00020118809,9.3508825e-05,1.2963485e-05,0.00015926901,0.0008046888,7.475979e-05,8.0834325e-06,0.00097423507,3.195406e-05,3.526478e-07,0.0019292084,0.00061128836,0.00012713707,1.0089403e-05,0.00026820018,0.6336526,2.1832122e-05,0.00015677873,0.00082798017,0.00028374797,0.0010412856,0.00016974486,2.6625226e-05,4.9332626e-05,0.00027074112,0.00028220928
sub_topic_7,0.000275512,0.00081917166,0.00076810765,1.14458335e-05,0.013878676,5.306719e-05,0.00052416103,0.96575046,0.0008588828,8.297618e-05,0.00019640336,0.0002482588,5.3153504e-05,0.0012124763,4.0174873e-05,8.6105676e-05,0.00026708024,9.195015e-05,4.5039505e-05,0.0007671669,3.9221477e-06,0.00049607217,0.00045705412,0.003601242,0.002016329,0.00025163637,0.0008697814,0.0012154762
sub_topic_8,1.3798237e-05,6.987786e-05,2.7880798e-05,1.17054315e-05,4.101405e-06,1.986959e-05,0.8883606,4.716176e-06,6.151084e-06,0.00023495562,4.1170942e-06,2.8991071e-06,1.8870918e-05,0.00015431354,3.828244e-05,0.0001235167,2.5610107e-05,2.9920406e-05,1.1066295e-05,3.998336e-05,2.4160974e-05,3.4960336e-05,2.0350939e-05,6.955167e-05,7.3302062e-06,3.136775e-06,4.4663575e-05,0.00024707412
sub_topic_9,0.00028499687,0.00010018798,3.8553288e-05,7.3828314e-06,4.1477728e-07,5.928438e-05,1.2399659e-05,7.194703e-07,1.87877e-06,7.8459576e-05,0.01644768,4.231815e-05,6.735433e-07,2.4018073e-05,0.00012864517,3.095252e-05,9.012232e-06,0.00010167312,5.1219417e-06,8.356139e-05,7.07483e-06,3.0155405e-05,0.57010925,2.0654994e-07,0.00013210851,3.6076605e-07,3.618382e-05,1.5922622e-05
sub_topic_10,5.548214e-05,4.2417218e-05,2.1319081e-05,1.0385457e-05,4.6592777e-06,1.9409956e-05,0.00018310653,4.899208e-06,1.1004386e-05,0.0002211582,1.1450666e-05,5.31699e-06,2.3529054e-05,0.9777046,0.0001251637,0.0031682681,5.6062712e-05,3.1169515e-05,1.4376546e-05,4.5831493e-05,1.9340727e-05,1.6425138e-05,0.000114020855,1.5831094e-05,8.76462e-05,5.6995987e-06,2.2167766e-05,0.00077729666
sub_topic_11,0.0003451806,5.7414727e-05,0.00051679934,0.0002334718,8.787102e-05,0.00020351737,0.00018254288,5.994213e-06,1.8111088e-05,0.0006144794,3.265613e-05,5.175366e-05,8.599457e-05,0.00015029726,6.409387e-05,0.00024015697,0.0011557788,1.9921501e-05,0.9677386,0.0022107677,0.0037397575,6.746524e-05,0.0002458144,1.9444822e-05,8.8783185e-05,0.00026032183,4.5659574e-05,0.00038525314
sub_topic_12,5.4627628e-05,8.8726716e-05,0.00022798855,0.97529966,2.222563e-06,0.00035428855,1.543753e-05,0.0,5.0218965e-05,1.8103325e-06,1.8729039e-05,0.00046728444,3.300812e-05,1.39500235e-05,3.7692232e-06,4.4586745e-06,0.00057679904,5.3813237e-06,4.663406e-05,0.00033526053,3.307944e-05,0.00017776014,6.777895e-05,1.561394e-05,9.011746e-07,8.93472e-05,0.0001994711,3.6224287e-06
sub_topic_13,0.0005644354,0.00010665804,0.00041947945,0.0012131493,8.1575534e-05,0.00059492275,0.00037645482,5.817781e-05,0.00030424405,1.6676937e-05,0.0015190926,0.9709146,1.2559841e-05,5.088081e-05,0.00016255723,0.0018965815,0.00030814297,2.790222e-06,0.0002065755,0.00030750703,1.1635498e-05,0.0005487535,0.00031012925,1.23090595e-05,8.0622995e-05,8.690997e-05,0.0010390944,5.6688536e-05
sub_topic_14,0.00023078559,0.00020766341,0.0005196145,6.7921e-05,0.00052717666,5.519558e-05,0.00020378675,7.586211e-05,0.00015988408,0.000101321144,3.6206035e-05,5.1705607e-05,0.0005910029,7.982259e-05,1.6950915e-05,6.552574e-05,7.143491e-05,0.00026552,0.0014849805,0.000107767635,0.0007371844,0.00015160682,8.036738e-05,9.293189e-05,0.00023652342,0.47034144,0.00013849909,0.00045204675
sub_topic_15,0.0022154718,0.0029522001,0.0010523988,0.009984317,0.00020338963,8.356106e-05,0.0035598206,3.9703405e-06,0.0007293295,0.0017122002,0.0009838804,1.6255568e-05,0.29271448,0.0007344452,0.00071396463,9.548225e-05,0.0036479435,0.00028040085,0.0012493744,0.0014349654,0.0253745,0.00095606595,0.006800183,0.00086573284,0.002193974,0.0004506179,0.0008769661,0.00085572974
sub_topic_16,9.084994e-05,0.00068774604,0.00014818046,0.00029603243,6.7667635e-05,0.00015322745,0.00014777672,8.565885e-05,0.0011729549,1.521904e-05,7.43005e-05,5.68384e-05,0.00051667495,0.00055180286,0.00010043511,1.6320788e-05,0.00014343884,0.015328544,6.062993e-05,0.00014307332,0.0010629682,0.00030775592,0.0008123747,7.357599e-05,0.00016874122,0.0019332059,0.0025785028,0.012462161
sub_topic_17,0.7719254,7.070282e-05,0.00012429696,4.6056673e-05,1.6545473e-05,5.847909e-05,8.217336e-05,6.215628e-06,4.5803747e-05,9.366783e-05,0.00020643519,0.00016983577,2.6381605e-05,0.00015631765,3.455699e-05,0.0001677391,0.00012174201,8.898394e-06,6.5776294e-05,5.6432094e-05,1.092222e-05,9.249951e-05,0.0010123216,1.2322987e-05,0.00011831884,3.2024873e-05,0.00016698564,0.00013616502
sub_topic_18,9.9408135e-05,0.00047317563,0.0001635187,2.0246755e-05,3.160363e-06,4.3814987e-05,0.00027708165,1.8519873e-06,1.8947505e-07,0.94121265,1.0899122e-05,0.0,4.458283e-05,0.00025952666,0.00040296506,7.4684045e-05,4.1592048e-05,0.0013380961,2.6994505e-05,0.00014794998,0.00039172466,9.108605e-05,0.00033359102,6.704489e-05,3.7897928e-05,8.581509e-06,7.458228e-05,0.0028146713
sub_topic_19,0.00023709808,0.000119818185,0.0002864979,0.0022320733,2.726314e-05,0.0014903833,8.3403735e-05,3.1200976e-05,2.3561153e-05,0.00027355677,0.00020403998,0.00026245514,6.1370025e-05,0.00032583834,0.00012428136,0.00025723546,0.9526203,5.6330133e-05,0.00087919174,0.0017168836,0.00018575117,4.2038468e-05,0.00025639453,0.00020443917,0.00026416843,4.798143e-05,4.983478e-05,0.0012204209
sub_topic_20,0.0032528224,0.00041001054,0.0017258562,9.813823e-05,0.00025255303,0.0017525115,0.001817089,0.00028388554,0.00019669387,0.000877736,0.005576531,0.011786784,2.4346586e-05,0.0027511856,0.005223381,0.9408868,0.0002817807,1.3312834e-05,0.00026035542,0.00062835595,4.1546245e-05,0.0023601472,0.00065933453,9.877056e-05,0.00052358897,0.00014935136,0.0035862366,0.002551142
