,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28
sub_topic_0,0.19239083,0.00015530978,0.00016878608,2.3941559e-05,0.00016415364,0.0002969958,1.5178824e-05,1.4654661e-06,7.79239e-06,0.00026757506,0.0002265069,2.5766967e-05,1.6878781e-05,0.00025952928,3.310591e-05,7.794953e-05,9.3220006e-05,2.5245403e-05,0.00042351254,3.880139e-05,0.0001843774,0.000103083534,0.0005187046,5.4993397e-06,8.150022e-05,2.9939238e-06,1.9173265e-05,9.698718e-05,0.00011451675
sub_topic_1,0.0047888234,0.0021846725,0.006626866,0.00030299576,0.0022861348,0.0005625454,0.0009018525,0.004355319,0.0025645038,0.004888494,0.029301565,0.0018048147,0.004008847,0.0049657747,0.0050844774,0.0008352122,0.018660624,0.00014486142,0.0017928702,0.011121039,0.0002514746,0.0018162314,0.0033128122,0.0005665032,0.129577,0.00083182484,0.0007330066,0.005908076,0.003603535
sub_topic_2,0.0035581342,0.0003803935,0.0056789243,9.4174924e-05,0.00023338736,0.004527877,0.0003637889,0.0017681678,0.00041493503,0.00041572083,0.01016264,0.009012999,4.2172298e-05,0.0007095382,0.00063126616,0.4082461,0.00040101758,5.888225e-06,0.00036844582,0.0010065886,1.7343462e-05,0.0029117798,0.0010887273,9.5526106e-05,0.00026124791,0.00028994778,0.005737765,0.0005896666,0.0055811354
sub_topic_3,0.00017328365,5.7683174e-05,0.00057641295,0.0002779946,3.1335196e-05,7.724152e-05,1.2878417e-05,4.0687714e-06,0.00010068039,1.3733708e-05,0.00020306278,0.00020146894,2.7596592e-05,2.7086715e-05,1.5565887e-05,3.4044035e-05,2.2723501e-05,2.5261714e-05,2.7659544e-05,0.00014952793,1.4437517e-05,0.2666217,0.014945928,1.6800599e-05,5.837063e-06,9.18788e-06,0.0012681077,2.0567362e-05,2.4148821e-05
sub_topic_4,0.00018843969,0.0006476364,0.00066140544,0.00016231302,3.0410696e-05,0.00023241411,2.8987683e-05,2.6870232e-05,3.3722878e-05,2.5384677e-05,0.00012814949,0.00016764479,2.8891234e-05,6.681338e-05,9.098543e-05,0.00011400615,3.2817345e-05,5.9373997e-05,2.0033705e-05,0.00074000633,1.1263029e-05,0.0012670574,0.00080654206,2.6605905e-05,3.0845802e-06,1.632741e-05,0.95275414,2.1895621e-05,0.00012078647
sub_topic_5,7.200865e-05,1.7699205e-05,0.9567985,1.7991097e-05,4.0851214e-06,4.9827897e-05,6.2936997e-06,2.050692e-06,3.997223e-06,2.4888112e-05,0.00015736972,2.3669223e-05,0.00015702906,1.7052738e-05,4.9875703e-06,1.3267275e-05,8.226689e-05,6.779282e-06,2.0551088e-05,3.5050663e-05,9.053812e-06,0.00018800939,0.00023482443,1.2540216e-06,6.059555e-05,1.1525801e-05,0.00013153988,3.3590266e-06,2.5007474e-05
sub_topic_6,9.184831e-05,0.008955022,0.00023330966,0.00014946349,1.4339249e-05,0.00021856636,0.0026794914,4.4573055e-05,6.5386107e-06,0.00050580857,1.928552e-05,3.6753308e-06,0.004085543,0.00043237463,0.00017691875,6.35935e-06,0.0003117244,0.5619269,1.6293337e-05,0.00015247,0.0007189977,0.00030376465,0.00090411294,0.00018726705,1.657171e-05,3.6824946e-05,0.00043220355,0.0006075754,0.0001592046
sub_topic_7,0.00039934288,0.0005549677,0.0008472835,1.7723092e-05,0.00015521473,9.7535725e-05,0.00031436322,0.91059506,0.00069480384,0.00013414599,0.00035994474,0.0003955322,0.00016896302,0.0010687006,6.1380495e-05,0.0001407188,0.00041164967,3.147738e-05,0.000185747,0.00076652935,8.237402e-06,0.0005022279,0.00036988797,0.0024415087,0.0022856463,0.0004941141,0.00078552903,0.0013959638,0.00065905874
sub_topic_8,4.9720118e-05,5.499893e-05,8.107909e-05,3.8225666e-05,1.6204962e-05,0.000148187,0.0001544677,3.666528e-06,5.149754e-06,0.0010185943,7.684822e-06,1.932115e-05,2.318987e-05,0.0005233097,0.00010724077,7.595262e-05,8.3849656e-05,2.4572435e-05,5.262072e-05,8.410479e-05,6.6627676e-05,5.7303743e-05,4.717355e-05,5.53023e-05,1.7607044e-05,3.479719e-06,0.000109124776,2.3361672e-05,0.8156024
sub_topic_9,0.00018376774,0.00013710637,0.002066456,2.40054e-05,0.000121973324,8.359101e-05,5.3098614e-05,0.00015701332,0.00027939232,7.5223776e-05,0.9348099,0.001090967,3.6906742e-05,0.00010687389,0.003653923,0.0014398957,0.00026187577,9.419401e-06,5.5014876e-05,0.0020729334,9.384848e-06,0.00044676583,0.0044685164,3.2649048e-05,0.0057646614,4.902194e-05,0.0006161216,8.117814e-05,9.553159e-05
