,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29
sub_topic_0,0.93264765,0.00020965324,0.0008291372,5.7020865e-05,0.000112425536,0.0006279877,6.054606e-05,3.2584496e-05,3.061823e-05,0.00033626394,0.00020737166,0.00034684892,3.6836933e-05,0.0003975398,4.010531e-05,0.0016638965,0.00013893277,1.3564667e-05,0.0006700314,0.00012727483,7.3091105e-06,0.0005460997,0.0008980351,9.469578e-06,4.3867512e-05,3.4098808e-05,0.0014474707,0.000117573974,0.00073686085,9.686014e-05
sub_topic_1,3.708098e-05,0.00023281388,0.00014761572,0.00039522644,3.2858377e-05,0.0015735786,4.0075043e-05,0.00011293543,1.675144e-05,0.00019644208,0.00086494506,5.9234633e-05,3.6542722e-05,0.00014853064,0.0008693434,3.054823e-05,0.00015262705,0.00029042413,9.592945e-05,0.19501625,0.000298818,0.00035039894,0.001983934,0.00039512524,0.0004859847,3.6067624e-05,0.0027308168,3.760645e-05,0.00014999267,2.058954e-05
sub_topic_2,0.019942978,0.0006431859,0.0028378954,0.00010526476,0.0010733455,0.0032933576,0.0008826831,0.028246274,0.022826541,0.00039471226,0.012089373,0.005727498,0.00049803907,0.000988479,0.00067601044,0.027138375,0.0013953889,1.0465606e-05,0.0004977904,0.00095773675,2.545627e-06,0.0024498105,0.00026078828,0.00044556375,0.0065074186,0.0023729044,0.0043282947,0.004343957,0.0030384988,0.0007792721
sub_topic_3,0.00010884244,0.00014560469,0.013079859,0.0001462193,0.00025794553,0.00025668665,0.00012359934,8.041213e-05,0.0005725244,6.454331e-05,0.18788144,0.0010732414,0.0002230237,0.00012574991,0.0005974361,0.00017535771,0.00012979812,7.073432e-05,0.00037737345,0.0017008228,2.307361e-05,0.00044569036,0.014660487,8.439e-05,0.0072296634,0.00013520298,0.0003765051,9.9458106e-05,5.9062848e-05,0.00029253348
sub_topic_4,0.012097511,1.6978398e-05,5.1983978e-05,3.4914236e-05,4.528559e-05,4.7523034e-05,9.535308e-06,2.2141028e-06,8.819326e-06,6.965435e-05,1.883407e-05,4.9775816e-05,1.1751904e-05,8.231424e-05,2.6644952e-05,6.686997e-06,0.00021667984,2.9436126e-06,0.41266182,2.8759616e-05,3.4239485e-05,2.014101e-05,0.000495718,6.542508e-07,7.6571785e-05,1.6185704e-05,2.5281875e-05,1.3748123e-05,4.4752276e-05,0.00014205172
sub_topic_5,0.00010344993,8.200491e-06,0.8857233,1.2087576e-05,1.4405697e-06,3.5361576e-05,1.918248e-06,1.0257606e-06,2.5639233e-07,1.7551578e-05,5.958166e-05,1.3939422e-05,0.00012960682,8.826844e-06,4.229352e-06,4.684421e-06,0.00018343856,3.934464e-06,1.9790034e-05,1.641894e-05,6.1736077e-06,0.00012261014,0.000111043344,0.0,3.54789e-05,5.84432e-06,3.6358375e-05,7.3808934e-07,1.6500959e-05,1.5126886e-05
sub_topic_6,4.1025734e-05,0.0066756294,0.00017823654,9.368547e-05,2.1954776e-05,0.00011935759,0.0017477482,2.8971179e-05,4.306881e-06,0.00047480626,8.533925e-06,2.7941858e-06,0.003229685,0.0003241635,0.00015312152,1.025856e-05,0.00023777991,0.64434034,5.7446843e-05,0.00017629762,0.00077272556,0.00045953272,0.00065539527,9.8305274e-05,1.7323697e-05,2.5386827e-05,0.0003651339,0.00049242476,0.00015798052,3.2057855e-05
sub_topic_7,0.00032361885,0.00026871846,0.0005057021,2.4421108e-05,4.846939e-05,8.077999e-05,0.000121369936,0.77712405,0.000297463,0.00011172919,0.00019352864,0.0001879257,8.556232e-05,0.0006611055,6.0295002e-05,4.751418e-05,0.00023799068,2.4311814e-05,7.974684e-05,0.0005350667,1.7966784e-06,0.0003339775,0.00022915311,0.0008028372,0.0015238331,0.00031939393,0.00043606007,0.0006836398,0.00035760106,7.4916315e-05
sub_topic_8,4.0329207e-05,4.8663016e-05,6.4746055e-05,4.0282175e-05,1.21385665e-05,0.00016555899,6.5502296e-05,1.8809471e-06,3.1913219e-06,0.0010055385,4.393148e-06,9.757155e-06,2.0092759e-05,0.00041020795,8.366978e-05,7.771032e-05,5.1333023e-05,2.9410388e-05,8.804053e-06,6.1018825e-05,1.7900951e-05,6.749259e-05,3.636753e-05,3.4478384e-05,1.457835e-05,2.212938e-06,8.9615765e-05,1.0796921e-05,0.8303827,0.000119672826
sub_topic_9,0.00016852052,0.0014103182,0.0002275704,2.1448597e-05,4.136563e-05,2.8401835e-05,0.00011793114,3.111879e-05,1.588957e-05,0.0007942056,0.004555815,0.0001240154,4.2247655e-05,0.00018318206,0.39577344,0.0019308843,8.323201e-05,0.000262637,2.9909135e-05,0.0053697373,3.6144666e-05,0.0014853439,0.003920742,3.0916955e-05,0.0017625821,1.543136e-05,0.00081012625,0.00010431563,0.0002429309,2.9055447e-05
sub_topic_10,2.808047e-05,4.5978333e-05,1.0383347e-05,9.353018e-06,1.3683876e-05,2.5592712e-05,5.433167e-05,4.7301055e-06,2.1967155e-06,0.00055688363,2.9500547e-06,2.785942e-06,2.5278081e-05,0.51750505,5.5746117e-05,0.00019143702,2.385139e-05,4.4151853e-05,8.650733e-06,2.009751e-05,6.613117e-06,3.256249e-05,8.4303654e-05,2.351255e-06,5.971821e-05,2.0077966e-06,1.643318e-05,2.2684339e-05,0.0005064982,1.6643284e-05
sub_topic_11,0.00015117874,4.2036983e-05,0.00048651174,0.0005454221,3.24041e-05,0.00079531263,7.333287e-05,2.6877308e-06,1.1676419e-06,0.0009312101,1.1878314e-05,0.00014544427,6.425126e-05,0.0003152812,7.41536e-05,6.1138395e-05,0.0009382353,2.8327118e-05,0.00029605982,0.0016936067,0.00021891673,8.884645e-05,0.00018796037,5.2011715e-06,1.7835066e-05,1.1886398e-05,6.376204e-05,1.3100069e-05,0.00064291526,0.3291541
sub_topic_12,7.0649817e-06,6.263217e-05,0.000110610395,0.9802765,2.2585758e-05,0.0005228738,8.601128e-07,1.0767165e-07,9.185229e-06,3.0896515e-06,4.919085e-06,0.001035496,8.7818677e-07,1.5076641e-05,2.894137e-06,1.8707855e-06,0.00048584884,4.238634e-06,5.8828853e-05,0.0005087098,0.00010012189,8.1675484e-05,2.2416763e-05,5.8880355e-06,7.8878634e-07,3.316002e-05,0.000115737064,6.92185e-07,1.2583811e-05,1.4685276e-05
sub_topic_13,1.3204711e-05,0.0002712844,6.046958e-05,2.0396876e-05,2.2410693e-06,3.0832558e-05,0.00010755904,0.0068894634,0.00025815403,1.305127e-05,1.9272837e-05,2.1703669e-05,2.5116628e-05,0.00011715831,5.6562417e-06,1.1526523e-06,1.4519654e-05,0.00011418666,5.3191357e-06,0.00015451787,3.051346e-06,0.0001361917,9.3851646e-05,0.29309922,0.00011475026,2.3340308e-05,7.2595976e-05,0.000103579274,4.2702122e-05,7.1828863e-06
sub_topic_14,9.650499e-05,0.00046671028,0.00014095896,4.7452813e-05,8.889959e-05,0.00020106047,0.00043049362,5.3573767e-05,0.00014694908,3.8325354e-05,3.9253482e-05,4.625595e-05,0.0004097082,0.0003586801,9.792473e-05,3.7659778e-05,0.00016291757,0.0017253689,4.9613296e-05,9.886359e-05,0.00029976742,0.00021459059,0.000293935,4.199782e-05,0.000108691886,0.0004969216,7.8449484e-05,0.97432023,5.1216928e-05,0.00027481417
sub_topic_15,0.000101983926,0.002055404,0.0009354907,0.0013398976,0.0005622598,0.00033377585,0.0007269668,1.6105987e-07,3.981003e-06,0.0019201835,4.294742e-06,1.953635e-06,0.0057915887,0.00039979236,0.00012964998,3.3942995e-06,0.0008846149,0.004496565,0.00047930493,0.00019714535,0.9039715,0.0004131442,0.0012265198,8.596764e-06,4.6897087e-05,0.0005796331,0.0002003732,5.1234558e-05,0.00036304363,0.0039348407
sub_topic_16,8.23577e-06,0.0014720281,3.0898664e-05,2.4463197e-05,1.2283174e-05,2.7581631e-05,0.58997107,1.8718294e-05,1.1322326e-05,5.8860318e-05,3.5287742e-06,3.63425e-07,0.00031329502,7.538587e-05,7.882999e-06,1.7876023e-06,4.8839353e-05,0.001479948,1.7162796e-05,2.6529051e-05,8.35841e-05,8.808647e-05,0.00010921006,2.7746099e-05,1.2513522e-05,1.0345445e-05,5.7075104e-05,5.55668e-05,5.0266204e-05,7.480935e-06
sub_topic_17,0.00090820924,0.00082051003,0.0013277164,0.0014444452,0.0029765142,0.0004005166,0.00067285873,0.00038353886,0.34598446,0.00015849728,0.0006704041,0.0016596437,0.0010124284,0.0017431361,0.00039345454,0.0004002317,0.0013654552,0.00013744619,0.0024698905,0.0015085085,0.0004492463,0.0013737554,0.0010883497,0.0014506003,0.0008732676,0.0020565384,0.0021404165,0.001291145,0.0010218364,0.0008760742
sub_topic_18,9.228119e-05,0.0010122047,0.00046983195,4.0568077e-05,2.837412e-05,5.6835797e-05,0.00022390462,2.5225281e-06,9.047079e-07,0.1446365,1.591785e-06,1.08558964e-07,0.00043179205,0.00020036283,0.00024821787,7.912753e-06,8.879101e-05,0.0146538345,4.141515e-05,0.00011163619,0.0032639082,0.0004871581,0.00097404275,9.3633986e-05,2.6166392e-05,2.45247e-05,0.00012803047,6.991879e-05,0.00013576569,0.00016123198
sub_topic_19,9.251206e-05,9.209204e-05,0.0006955646,0.0018924564,4.465228e-05,0.00093268685,3.405783e-05,2.0056976e-05,1.9042285e-05,0.0007967799,0.00011776741,0.00026477032,9.950647e-05,0.00039714432,8.853626e-05,6.4748e-05,0.9215863,3.4968092e-05,0.00032546275,0.00040092142,0.00027462628,8.619031e-05,0.00019499118,4.981348e-05,0.00024134573,2.9465968e-05,4.2016265e-05,0.000118508106,0.00027310086,0.00048340115
sub_topic_20,0.0039547654,0.0002459135,0.00071458,9.728228e-05,0.0001773155,0.00045763122,0.00021990071,0.00013389712,9.461962e-05,0.00086746586,0.005473207,0.0061153634,1.5006754e-05,0.0018233993,0.007676018,0.9357201,7.1929506e-05,2.236175e-05,9.543586e-05,0.0009071318,2.4755782e-06,0.001485423,0.00048932625,5.9664384e-05,0.00096398167,0.00012648453,0.0020227886,0.00020916153,0.0022471552,0.00016254185
sub_topic_21,1.0226199e-05,2.6026351e-05,4.838706e-05,0.0011027369,1.0481999e-05,5.4520653e-05,8.040635e-06,1.7224309e-05,1.3651613e-05,1.3250428e-05,0.00045033815,0.00033211103,1.3465964e-06,6.944641e-05,0.00030950515,2.4555606e-05,0.00010208833,1.6425152e-05,2.1583599e-05,0.7653868,1.951916e-05,3.268544e-05,8.510905e-05,4.1151154e-05,7.960063e-05,1.0813868e-05,0.0009106286,1.4074918e-06,3.8380385e-05,9.095311e-05
