,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30
sub_topic_0,0.02870118,0.0006140465,0.008502828,0.011886956,0.0014797063,0.0061642886,0.00028622584,2.5768806e-05,5.904253e-05,0.03026375,0.0019710476,0.00038146277,0.001386876,0.031252842,0.00033266415,0.0006112183,0.0050698984,3.4346518e-05,0.00062968925,0.00024129213,0.0015816586,0.0015645608,0.0039691934,3.071799e-05,0.002068148,0.0001516144,0.00026224725,0.0008830229,0.011431047,0.022931278,0.0012320082
sub_topic_1,0.00014664968,8.5095875e-05,0.000110517016,0.00027651826,0.00023611898,0.00024105309,2.4090612e-05,0.00010463356,9.820633e-05,6.5817636e-05,0.60012776,0.0003118849,2.0126734e-05,0.00015442165,0.0001760559,0.000118016585,6.0224957e-05,9.758511e-06,6.65275e-05,0.0032634817,2.0393532e-05,0.00015731127,7.8519704e-05,4.3276857e-05,0.0005921341,3.8715552e-05,0.0005353887,5.780516e-05,0.00012345873,6.3160194e-05,0.00031986393
sub_topic_2,0.0058626705,0.00043930885,0.004704126,0.00021900158,0.00031769666,0.011618725,0.0005233723,0.0027696742,0.00045322944,0.0007704088,0.004106255,0.006611926,6.3923755e-05,0.000789446,0.00050157274,0.27442774,0.0002210123,1.0550335e-05,7.2141745e-05,0.0005838965,1.0002504e-07,0.002231835,0.00096506043,0.00028918253,0.00053106056,0.00053223345,0.0037258074,0.0009118023,0.008393183,0.0006832971,0.004227504
sub_topic_3,0.0008050206,8.275848e-05,4.267027e-05,5.887599e-05,0.00018906615,1.3318473e-05,7.96949e-05,3.22348e-05,7.5912314e-05,0.0047707646,0.00019394903,6.0257324e-05,1.5280857e-05,0.15726703,0.001536018,0.004442303,2.3700451e-05,2.2672519e-05,1.9620864e-05,8.394975e-05,6.0746293e-06,0.00026368877,0.00071904366,9.311532e-06,0.0130276745,4.1047315e-05,5.109742e-05,0.00020206868,0.00044996224,3.8753315e-05,0.00012663005
sub_topic_4,7.5687785e-05,5.8242458e-05,0.0004202326,1.414426e-05,2.7422022e-05,0.00017236666,1.34578595e-05,7.7295704e-07,4.695838e-07,3.3903147e-05,0.00021726417,9.951581e-05,0.0,4.0904077e-05,5.8821828e-05,7.176765e-05,1.1398083e-05,2.811378e-05,7.904942e-06,0.00022733485,8.961108e-06,8.1826234e-05,0.0018168995,3.961352e-06,9.4886505e-05,7.454352e-08,0.0002262946,9.369664e-06,2.5993455e-05,3.6330104e-05,0.5066597
sub_topic_5,4.7894846e-05,6.833654e-06,0.8251558,2.0934489e-05,1.8575427e-06,3.1370935e-05,1.7827608e-06,9.443299e-07,4.949677e-07,1.703004e-05,8.049175e-06,1.9682193e-05,3.4339704e-05,1.0548605e-05,4.280771e-06,7.378573e-06,0.0008009592,2.1061874e-06,7.12129e-07,1.469603e-05,4.8648762e-06,0.00010016082,7.9835845e-05,0.0,3.9635954e-05,6.035811e-06,2.7437987e-05,9.121805e-07,1.551047e-05,1.3629234e-05,0.00016633731
sub_topic_6,5.0115086e-05,0.002522424,0.00014633253,7.2383846e-05,1.6488251e-05,7.4092764e-05,0.000543932,1.18541375e-05,3.5799733e-06,0.00032589544,1.6081236e-05,2.7604021e-06,0.00154877,0.00017591962,0.0002525594,5.4784805e-06,0.00029586718,0.48835018,3.8187503e-05,0.00024093712,0.00093425845,0.000287792,0.00039420676,7.938568e-05,7.0136794e-06,2.1899956e-05,0.00025712122,0.0002890162,0.00010492957,4.9127368e-05,6.217208e-05
sub_topic_7,0.0004854457,0.00034163552,0.0005373125,9.3085575e-05,5.3902953e-05,0.00011572279,0.00019634509,0.8447881,0.0005391421,0.00012602634,0.000315589,0.0002274257,8.691886e-05,0.00078870275,5.993457e-05,6.757068e-05,0.00019892497,2.1305108e-05,4.7216403e-05,0.00072766485,2.6403422e-06,0.00045152922,0.00022499269,0.0034462532,0.0012264213,0.00047783233,0.00054589345,0.0010287691,0.00050195446,8.2593855e-05,0.00029302272
sub_topic_8,3.802734e-05,4.7876554e-05,4.8465045e-05,4.83287e-05,1.16547135e-05,0.00014705874,0.000117566604,2.4134351e-06,3.4966358e-06,0.0010380035,1.8483832e-05,6.0851407e-06,1.3527984e-05,0.00054759503,8.346375e-05,4.4440672e-05,2.1576763e-05,2.1230562e-05,4.652886e-06,5.1577266e-05,1.41662795e-05,7.455729e-05,3.060882e-05,3.6954905e-05,1.1178067e-05,2.3984283e-06,7.3123556e-05,1.0922448e-05,0.8388901,0.00012509199,1.5638365e-05
sub_topic_9,0.00027547407,0.00056608696,0.00012527595,0.00016424667,7.635159e-05,7.941084e-05,2.7810942e-05,0.0001308555,4.393758e-05,0.000115573624,0.3573816,0.00056172226,6.0263314e-06,8.427697e-05,0.020714436,0.0008824434,3.6918944e-05,3.6999215e-06,4.2840085e-05,0.002022388,3.9066294e-06,0.0002341085,0.00068990083,3.2793985e-05,0.001548299,3.5105546e-05,0.0009948144,3.316327e-05,0.00029353812,3.9426726e-05,0.00089161436
