,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31
sub_topic_0,0.028402487,0.0010707817,0.0194225,0.0087789,0.001432945,0.008970891,0.00060973206,2.3403625e-05,2.1572367e-05,0.028747361,0.0020938145,0.00021893026,0.0010266603,0.017395113,0.0007427517,0.00022158168,0.007820199,0.00014465573,0.005263033,0.0001529575,0.005452111,0.0021792992,0.009751574,7.837755e-05,0.0012890054,0.00014512903,0.00022939328,0.0006850246,0.00931313,0.08140393,0.0013084569,0.0018157194
sub_topic_1,3.612974e-05,0.00023203628,8.577679e-05,0.0006187404,0.00012620834,4.9833172e-05,0.00012414831,0.00018609392,5.982677e-05,0.00036689627,0.0026786795,0.00032350686,1.436192e-05,0.00053601916,0.0027455501,0.0018122661,3.1999836e-05,1.5702544e-05,0.00014450528,0.0009937949,5.034292e-05,0.00056766346,0.00025838066,0.00010815051,0.0034916534,5.5923094e-05,0.0008830531,6.981497e-05,0.0005939838,0.00028974965,0.00041778816,0.932599
sub_topic_2,0.0052065225,0.0005833376,0.002433601,0.0030460788,0.003834944,0.008065138,0.0002877183,0.0023313551,0.009832677,0.00024516342,0.3109256,0.10954919,0.00026546553,0.0015506872,0.00013768415,0.005137454,0.00051972066,8.039735e-06,0.0013742457,0.0006362448,9.23832e-05,0.024175769,5.1504467e-05,0.0004520433,0.0016917824,0.0019479959,0.0036250053,0.0018409693,0.0018710038,0.0016109548,0.0039666537,0.007415315
sub_topic_3,0.00046843514,0.00018509671,0.0021958551,7.015448e-05,0.00019770065,1.6229396e-05,0.00015817855,0.00013754882,0.00018847408,0.0002387224,0.00073165033,0.0028991967,6.316851e-05,0.0007296282,0.0024331475,0.0008161409,0.00017847537,3.468085e-05,1.1195351e-05,0.00023935783,1.7853761e-05,0.00028194673,0.04867243,2.8146418e-05,0.43401423,0.00013082981,5.951287e-05,0.00021778666,9.4516894e-05,5.3967142e-05,0.0059997765,0.0035118894
sub_topic_4,0.00012443497,6.2679406e-05,0.0005585379,2.1008324e-05,3.5237677e-05,8.692337e-05,1.5692958e-05,3.1015577e-06,8.8971665e-06,2.0549487e-05,0.00019760217,0.0019906259,1.0557431e-05,3.387138e-05,3.798042e-05,3.098148e-05,1.6448826e-05,1.9424191e-05,0.00019761208,5.0922605e-05,1.9550227e-05,0.000145732,0.0064320085,5.9962504e-06,4.0865154e-05,2.0427115e-06,0.00065765105,1.3441309e-05,2.1406438e-05,1.900454e-05,0.9467619,7.720242e-05
sub_topic_5,5.232578e-05,6.0764098e-05,0.0059162965,2.8517683e-05,1.0804745e-05,5.693796e-06,3.508393e-05,1.575597e-06,4.876079e-06,5.8952406e-05,1.1139032e-05,3.309001e-05,0.0003459191,5.2598756e-05,3.409284e-05,1.0484025e-06,0.970907,0.00010132518,0.00011913355,2.6858512e-05,8.8860215e-05,0.0012287758,0.00012840143,9.165528e-06,3.3419332e-05,1.4379109e-05,4.1779367e-05,1.3304785e-05,6.419706e-05,3.402798e-05,2.0042988e-05,1.0315623e-05
sub_topic_6,0.00013603953,0.012665801,0.00041230168,0.000292872,2.3909752e-05,5.6800967e-05,0.0034656478,1.7475404e-05,4.824727e-06,0.0011093742,8.649259e-06,6.3588473e-06,0.006363578,0.000716584,0.00069376087,1.6401467e-06,0.0023339496,0.5843215,0.00044336266,0.0003264781,0.0045634666,0.0015782729,0.00419532,0.00014958491,3.0242854e-05,3.8498987e-05,0.00045581374,0.0006552037,0.00023979529,0.00020179893,0.00010407872,2.386814e-05
sub_topic_7,0.0007333491,0.0005670835,0.0009790586,0.00013791694,9.4200426e-05,0.00021026217,0.00042579064,0.97884786,0.0017073461,0.00017069212,0.0006653204,0.00061957695,0.0001752949,0.0010658549,0.00011635367,0.00015405098,0.00026979027,1.9498368e-05,0.00025893317,0.0005301387,1.017095e-05,0.0021302355,0.0002778257,0.0027397291,0.0026619178,0.00069807866,0.00087299175,0.0017036648,0.00074508216,0.00014454393,0.00051779655,0.00071652286
sub_topic_8,4.5710425e-05,5.609835e-05,9.0753245e-05,8.8435285e-05,1.9276851e-05,0.00052405783,0.00014426628,2.1870853e-06,3.2291523e-06,0.0010462771,4.686114e-05,8.7914676e-05,1.5017974e-05,0.0006576901,9.0301415e-05,8.710083e-05,2.9364772e-05,2.5311387e-05,4.241422e-05,2.1007872e-05,2.5532438e-05,0.0005285985,6.4525186e-05,4.8035858e-05,1.4745379e-05,2.6481177e-06,0.00011147992,1.573152e-05,0.9047465,0.00022764727,2.5301173e-05,5.0137707e-05
sub_topic_9,0.00038219933,0.0004801622,0.00025235867,0.0001452087,2.044803e-05,0.00037946657,8.018805e-06,2.0773716e-05,9.4192393e-07,0.00010253686,0.6414588,0.00065066485,3.4732243e-06,7.003963e-05,0.0038545202,0.00029502646,2.0843518e-05,3.0879341e-06,0.00030194013,0.00012702715,1.2220344e-05,0.0005481611,0.0038131427,9.36893e-06,9.7072465e-05,5.6092613e-06,0.0019153048,8.391398e-06,0.0003162618,1.838786e-05,0.001168842,0.0024170873
