,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32
sub_topic_0,0.0002405114,3.4508314e-05,2.7527327e-05,0.00010543043,3.1703552e-05,4.374317e-05,7.439756e-05,2.0154139e-06,3.0259466e-06,0.0019854945,4.935235e-05,2.3576122e-05,8.830738e-06,0.58860105,0.00012889452,0.0012986492,0.00016457652,1.2939443e-05,1.1711551e-05,1.1374985e-05,2.5407313e-05,0.0001581711,0.00016534017,4.075383e-06,0.00034938107,1.0343925e-05,2.5930694e-05,7.119988e-05,0.0012598711,0.00015521362,4.0733048e-05,0.00011126821,2.2180463e-06
sub_topic_1,6.194384e-05,0.0002253429,9.7938064e-05,0.0008147195,0.00013241233,7.464027e-05,0.00010771328,0.00025181804,5.2650976e-05,0.00032702406,0.0040102564,0.0012364734,2.1997539e-05,0.00052608585,0.0023847069,0.0018599847,9.089157e-05,1.5030334e-05,0.00012539554,0.0006470983,3.805432e-05,0.0047860662,9.742882e-05,9.627999e-05,0.0049772295,5.9656657e-05,0.0011728927,8.745709e-05,0.00057384814,0.00035239334,0.0006101578,0.95345736,2.7197357e-05
sub_topic_2,0.0010777498,0.000715785,0.00036666883,0.00048650618,0.000593346,0.0002329559,0.0006487549,0.0009660895,0.5767354,0.00012650354,0.00068462576,0.0021785605,0.00069105055,0.0010295366,0.00019798038,0.00025333223,0.0009143284,0.00010093702,0.0012356514,0.00035863166,0.00018679009,0.0029581022,0.00035917806,0.0031357314,0.00032130978,0.00086363946,0.0015421641,0.0008190884,0.000560516,0.000379389,0.0008224958,0.00039342092,0.00065072544
sub_topic_3,0.00078205974,0.00011064706,0.00012848532,2.5135747e-05,1.4918474e-05,1.1657582e-05,5.7547517e-05,4.0119608e-06,1.2059133e-05,0.00012715375,0.0011508765,0.0037786253,8.94718e-06,0.0001767893,0.0006408381,6.0308354e-05,0.00013118381,5.7376943e-05,2.8189055e-05,6.9935966e-05,1.8047662e-05,3.189767e-05,0.5366464,6.5914714e-06,0.008868053,2.0320178e-06,0.00012683371,1.1731557e-05,6.186664e-05,2.2638262e-05,0.00947759,0.00060207275,1.3829848e-05
sub_topic_4,0.0012271596,0.00013673061,0.0026413815,8.285349e-05,4.2325428e-05,0.00022083604,0.00017377987,0.00013867083,8.080326e-05,9.885747e-05,0.00039509384,0.0003015647,0.00024148394,0.00017159164,5.6484256e-05,0.0006428732,0.0004418774,9.159048e-06,8.046254e-05,0.0001828864,1.3596897e-05,0.0004033787,0.00043871833,1.8414454e-05,8.668303e-05,0.000112683825,0.0021038163,0.00015788662,0.0005376026,5.6274468e-05,0.008975876,2.6189498e-05,0.9771518
sub_topic_5,0.0009464454,4.874036e-05,0.5714448,0.00054779585,3.7318245e-05,0.0011156563,6.475485e-05,2.2305301e-05,8.747722e-06,0.00040166962,0.0006395482,4.3047353e-06,7.735307e-05,0.00028775478,0.000106150124,9.37941e-05,0.013045265,1.4317181e-05,9.7925105e-05,6.488078e-05,5.7964047e-05,0.00034940676,0.0007692807,1.36347435e-05,0.0002465864,2.4609304e-05,0.0004405946,6.423658e-05,0.000532817,0.00038414286,0.004173764,0.00012798622,0.00063366914
sub_topic_6,0.00014885163,0.012564788,0.00019117801,0.00025652474,2.7011318e-05,0.00010577368,0.00382692,2.4816985e-05,5.8103647e-06,0.0009920092,1.5698402e-05,5.2863115e-06,0.1459461,0.00053511973,0.00060378533,1.6142774e-06,0.0010168116,0.5786348,0.0001551308,0.00023209966,0.0028646747,0.0032320411,0.002375731,0.00018259868,2.9106612e-05,2.262167e-05,0.0004763377,0.0007254718,0.0002078898,0.00016761103,0.00016730426,2.9021217e-05,8.643564e-05
sub_topic_7,0.00044702864,0.00045049543,0.0005591765,0.00015202757,8.20573e-05,0.00024284498,0.00031174498,0.94558907,0.0008564591,0.00014297063,0.0005941201,0.0006376841,0.00033305312,0.00085554173,0.00011111358,0.00012798213,0.00034443184,2.4664225e-05,0.00014634302,0.00038007583,1.0093791e-05,0.0027031421,0.0001248445,0.001995322,0.002391766,0.00052242505,0.00038561242,0.0013532414,0.0005295545,0.00012495316,0.0012644321,0.0008184983,0.0036579708
sub_topic_8,8.1106125e-05,7.279245e-05,8.788185e-05,0.00013188517,2.2644072e-05,0.00083017064,0.00015463373,4.279747e-06,4.5493e-06,0.0010631682,8.126186e-05,8.4065236e-05,6.125082e-05,0.000734725,0.000104215134,0.00014431233,8.921464e-05,2.7810793e-05,3.7688438e-05,1.3669867e-05,2.5366762e-05,0.0004320199,5.95799e-05,6.925332e-05,2.0001615e-05,5.0927156e-06,0.00015203096,3.3502576e-05,0.96231604,0.00033147572,6.591472e-05,6.516955e-05,5.041337e-05
sub_topic_9,0.0007522446,0.0014570772,0.00023612066,0.0002959079,0.00014961061,0.0008307641,2.0372321e-05,7.655422e-05,6.398684e-05,9.686937e-05,0.9632454,0.02441642,2.587771e-05,0.00014617728,0.001966671,0.00049735943,0.000103888095,6.075542e-06,0.0004029015,8.59056e-05,2.7460446e-05,0.0072781914,0.00049316505,3.5880603e-05,0.00021916885,4.6327335e-05,0.0030894082,6.0323335e-05,0.00035226395,6.2645355e-05,0.0016942683,0.0045378585,0.0001626355
