,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33
sub_topic_0,0.0019420743,7.112093e-05,0.0003155587,0.0009570097,0.00015222808,0.00012681638,9.370266e-05,8.325812e-06,2.9418281e-06,0.009092646,0.00018756225,2.6457801e-05,3.5838144e-05,0.12943879,0.00048781815,0.00038657643,0.00035813302,2.9307179e-05,4.6447964e-05,2.1730939e-05,0.00023558048,0.00015229864,0.0010001151,1.4573905e-05,0.003092343,4.7755188e-05,3.2018033e-05,0.00023951723,0.0045617414,0.0013424845,7.8695004e-05,0.00042349935,2.0956148e-05,0.00020094714
sub_topic_1,6.331157e-05,8.9286455e-05,7.237298e-05,6.094027e-05,6.9107344e-05,4.038934e-05,2.2102571e-05,4.844752e-05,0.00014685716,4.3102587e-05,0.00416949,5.2861134e-05,2.747181e-05,6.72055e-05,0.00026006097,8.1780294e-05,4.6019304e-05,1.2951277e-05,5.372421e-05,6.9396915e-06,9.233532e-06,0.0001451876,0.0001657749,4.3860065e-05,0.00031539472,1.2409764e-05,0.0009512435,5.2108804e-05,5.1289247e-05,4.844792e-05,0.0005335303,0.24538201,2.21399e-05,8.726112e-05
sub_topic_2,0.00083781796,0.0012977149,0.0009588388,0.00033851594,0.00044029712,0.00013499644,0.0016664021,0.02267794,0.050656963,0.00024061998,0.0013010862,0.00093268265,0.00027715357,0.00055459066,0.00025378974,0.0022702906,0.0002712315,2.9684023e-05,7.0207585e-05,0.00012645058,4.2376114e-06,0.00086078816,0.00018251444,0.00026827288,0.0063269683,0.00052759604,0.00028187485,0.0019926976,0.00054557616,0.00013573508,0.0042634592,0.0007380686,0.0056385337,0.00027646383
sub_topic_3,0.00023779624,6.417122e-05,0.00014621421,4.6080997e-05,4.186468e-06,0.00027188222,1.7920023e-05,6.198987e-07,1.0667353e-06,5.056569e-05,5.390723e-05,4.0382467e-05,1.6851693e-05,6.571879e-05,3.1843752e-05,1.6182661e-05,2.0000041e-05,0.00020316447,1.4761745e-05,5.7043405e-07,2.2568775e-05,0.00014507347,0.0029973194,0.0,8.336026e-06,1.5419201e-06,4.5266286e-05,8.337415e-05,7.7381235e-05,5.9844802e-05,6.07835e-05,7.0581395e-06,1.1800382e-05,0.39099857
sub_topic_4,0.0041868878,0.00078143337,0.0038778493,0.00014254806,3.410575e-05,0.00042070606,0.0005942664,0.0010581238,0.00020123392,0.00058669393,0.00029490254,0.00019614413,0.00031237717,0.00057716767,4.4513978e-05,0.0004998453,0.0003718738,1.4445498e-05,0.0002822486,0.0014341128,1.8280185e-05,0.0008838089,0.0005763422,0.00010040011,1.2755732e-05,0.0002232199,0.012180477,0.00032707953,0.0027852342,0.00013522326,0.00020207869,6.4177634e-06,0.41012788,0.0012686135
sub_topic_5,0.0063137873,0.00015048185,0.026407728,0.00092911546,4.2689215e-05,0.19063294,0.00011152006,9.131011e-06,9.773524e-08,0.0048435642,0.0013654667,0.001561748,9.2061484e-05,0.004138761,7.5791664e-05,0.0062271715,0.00020338439,5.555406e-06,0.00055030995,4.5517236e-06,2.5365757e-06,0.0011199366,0.00036257214,1.1646262e-05,4.4588937e-06,4.3896025e-06,0.0006216364,5.203124e-05,0.10480256,0.01836161,5.9000566e-05,3.5644833e-05,0.0014224866,0.024343876
sub_topic_6,9.0066096e-05,0.010001075,0.00015506928,0.00018214945,1.9202744e-05,6.637615e-05,0.0024097066,1.885138e-05,2.6077157e-06,0.0008587455,1.5672693e-05,0.0,0.0052800328,0.00038855767,0.0010308289,5.4424464e-07,0.0022174572,0.65151536,5.199916e-05,7.562848e-05,0.0018490293,0.0011686042,0.0012590887,0.00015193934,3.0708674e-05,1.6742157e-05,0.00036648454,0.0006105228,0.00011947298,4.7647074e-05,2.4247649e-05,1.277757e-05,6.457636e-05,0.00030192378
sub_topic_7,0.0001656314,0.00018551512,0.0002615667,3.9870083e-05,2.4436398e-05,4.203637e-05,0.00011063336,0.7006409,0.00044200403,6.421237e-05,0.00012408917,8.576886e-05,9.778971e-05,0.00041433607,4.5234665e-05,3.8217167e-05,9.255715e-05,1.5317632e-05,7.9665595e-05,0.00011859931,1.7076697e-07,0.0003231,0.00010922659,0.0002588069,0.00050365616,0.00020715236,0.00014642774,0.0006295128,0.00021727794,3.8133858e-05,0.00045034793,0.00012500146,0.0009770332,9.9483485e-05
sub_topic_8,4.6291618e-05,5.5842967e-05,8.8209614e-05,6.268995e-05,1.1591254e-05,0.00023173413,0.00031059442,2.088098e-06,2.903301e-06,0.00095509697,3.423353e-05,8.149117e-06,1.5908854e-05,0.00060114975,0.0001227479,8.0166006e-05,3.1576885e-05,2.2252523e-05,1.4530455e-05,9.585148e-07,1.0735047e-05,7.689246e-05,3.043325e-05,2.7382363e-05,2.8287188e-05,4.002206e-06,7.4781565e-05,1.29898635e-05,0.85685223,0.0002186868,6.815922e-06,4.2531337e-05,2.4096025e-05,6.155331e-05
sub_topic_9,0.0003886832,0.0026342198,3.389863e-05,2.2658078e-05,2.6413445e-05,3.7095724e-05,3.5248675e-06,8.256779e-06,3.3278728e-05,3.152891e-05,0.30097747,0.00016016512,6.1877895e-06,2.849932e-05,0.0040377523,4.7398462e-05,1.8597206e-05,3.4822335e-06,0.00030030322,2.8276772e-06,4.3531168e-06,0.004243997,0.0007505181,1.1057542e-05,3.7330345e-05,1.3321392e-05,0.0018871962,9.378156e-06,0.00010861262,7.783341e-06,0.0001070304,0.003246788,1.0004472e-05,0.00027326768
