,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34
sub_topic_0,0.0094321435,0.00015340123,7.3200485e-05,1.4563836e-05,5.311625e-05,0.00068251457,1.2804346e-05,1.2804625e-06,1.6040597e-06,0.00023309962,2.4871155e-05,3.4845916e-06,2.4659199e-05,0.0001859619,6.0419632e-05,1.9933836e-05,3.6388676e-05,4.2390115e-05,2.3215262e-05,1.3967034e-05,0.0001735302,5.4787077e-05,0.00045116956,3.4584718e-07,2.8260401e-05,5.74261e-05,7.9914e-06,0.00010951783,5.6182475e-05,0.0014652682,0.014809054,1.0465073e-05,8.53356e-06,5.2340096e-05,2.1459704e-05
sub_topic_1,6.1137944e-05,0.0001150062,6.547514e-05,7.155224e-05,9.040976e-05,2.7755634e-05,2.0459382e-05,3.8773756e-05,0.00014323482,3.3194494e-05,0.0010985328,6.472467e-05,1.7419117e-05,5.888972e-05,0.00032284047,7.881451e-05,3.346436e-05,1.0301538e-05,5.0768438e-05,1.0706498e-05,8.77952e-06,0.0001463546,7.2785115e-05,2.8034567e-05,0.0001749767,1.4128678e-05,0.001110977,4.366677e-05,4.7361962e-05,5.3091586e-05,0.00041341648,0.31353968,2.281741e-05,0.0001068688,0.0001537531
sub_topic_2,0.00066957553,0.0012329674,0.0008580575,0.00021509787,0.0004151965,0.000117863856,0.0014661214,0.016879544,0.04871776,0.00021190137,0.0007658995,0.0020367852,0.00036713068,0.000553566,0.00033357216,0.0021139404,0.00018567331,2.4739667e-05,5.9932554e-05,0.0001377132,6.04748e-06,0.0009194131,0.00013411045,0.0013643141,0.0044301488,0.00040473943,0.00033537284,0.0016886219,0.00043795866,0.00010561689,0.0051660636,0.0007068611,0.0057106405,0.00012240969,0.0002859331
sub_topic_3,2.0223168e-05,8.735889e-05,0.0001120322,6.234516e-05,3.870576e-05,0.00014040092,3.6036374e-05,1.6846303e-05,0.00017433379,2.9997256e-05,3.9299208e-05,6.529667e-06,3.7293776e-05,0.0002323112,0.00018913788,6.5707363e-06,0.000114735616,0.00012240544,1.2977772e-05,0.00017842518,2.6280652e-05,0.0002334116,0.18329525,1.5089608e-05,0.0004297011,9.085635e-06,0.0002970692,2.9939085e-05,7.0929564e-05,1.1583057e-05,0.0064048143,0.00036896358,3.1278967e-05,0.0010514485,4.9734535e-05
sub_topic_4,0.0044714576,0.0009250869,0.004754474,9.646458e-05,3.460743e-05,0.00025559688,0.0005249365,0.0008167036,0.00013957587,0.0005508423,0.00032997737,0.0002537957,0.00038942907,0.0006691349,7.432197e-05,0.00066094095,0.00030254028,1.5368882e-05,0.00023835327,0.0017253376,3.295744e-05,0.0010961578,0.0006984465,0.0001152541,6.3521384e-06,0.00020914951,0.023575312,0.00027683374,0.0023612203,0.00014992393,0.0001978946,4.1348285e-06,0.36568493,0.0013111675,0.0005569126
sub_topic_5,0.0063608172,0.00014755932,0.047263425,0.00080045813,4.939694e-05,0.043929886,6.336641e-05,9.212312e-06,5.0030474e-07,0.0041533466,0.0040557273,0.0006541824,0.00014374524,0.0035731602,9.635741e-05,0.0087695075,9.699925e-05,2.8739507e-06,0.00016022981,1.7548753e-05,2.1235705e-06,0.0010568029,0.000109310095,0.0,5.5424252e-06,6.821376e-06,0.00069267786,2.85566e-05,0.08612935,0.01582736,3.151171e-05,2.3547902e-05,0.001180167,0.004983196,0.12445792
sub_topic_6,7.9056044e-05,0.010677708,0.00011416577,0.00022763206,2.1542424e-05,0.0010473054,0.0030697947,1.6626695e-05,2.7496367e-06,0.0009083173,2.6015614e-05,0.0,0.0029767428,0.00044934254,0.00041081986,2.5387103e-06,0.002228382,0.6452586,3.2034855e-05,0.00015299168,0.001732373,0.0015631738,0.0013433762,8.5969135e-05,2.0799534e-05,1.315466e-05,0.00036312948,0.0006408932,0.0001344466,6.815986e-05,1.4032083e-05,1.4503432e-05,5.258592e-05,0.00021622746,1.6172618e-05
sub_topic_7,0.00015902829,0.00016883938,0.00025572756,3.6782334e-05,2.1716403e-05,1.2568496e-05,8.017514e-05,0.6670112,0.00033069096,7.044142e-05,0.00015937342,7.9001315e-05,7.888031e-05,0.00044134763,4.401174e-05,3.7456975e-05,8.076909e-05,1.2807448e-05,6.246852e-05,0.00014607733,7.99624e-07,0.0003070418,8.867659e-05,0.0013666656,0.00047412905,0.0001849839,0.00014158341,0.0005926612,0.00020029004,4.0621482e-05,0.0005770836,0.00016908426,0.0009816032,9.5498035e-05,6.896779e-05
sub_topic_8,4.856304e-05,4.685823e-05,0.00010401602,5.9259255e-05,1.23270065e-05,0.00011113582,0.00024810058,1.0071391e-06,2.36838e-06,0.0009648742,3.6892354e-05,3.5344278e-06,1.3572582e-05,0.00067972415,9.2964474e-05,0.000112307505,2.7993334e-05,1.9872477e-05,4.761737e-06,1.824886e-06,9.889547e-06,7.1240764e-05,1.7946753e-05,8.079495e-06,3.0253783e-05,3.1409509e-06,6.714589e-05,8.730682e-06,0.8566646,0.00029158563,3.8046935e-06,3.0685413e-05,2.1058657e-05,3.7002417e-05,0.00025068078
sub_topic_9,0.00020488969,0.0016087649,0.00053774624,5.382008e-05,2.5137886e-05,0.00046675498,0.00022281193,4.373266e-05,2.411772e-06,0.0023481546,0.004917283,4.2114425e-05,9.618151e-05,0.000491993,0.15380543,0.001142227,0.000682442,0.0013036734,3.316009e-05,5.676724e-05,4.7413065e-05,0.007614769,0.08352422,1.9999703e-05,0.009446519,4.0246807e-05,0.0012932995,0.00013064143,0.00047288067,0.00010993718,0.00895208,0.0056886612,0.00030169336,0.00035672152,3.9983563e-05
