,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35
sub_topic_0,0.0016707394,0.00030232777,0.0008967409,0.00034290346,0.00028268117,0.0016298686,0.00019346787,5.126694e-06,7.373454e-06,0.0024493814,0.00011927237,7.287325e-05,0.0002817879,0.00065271807,0.00017809459,8.5678876e-05,0.0025785214,0.0002760919,0.00042127224,0.00081661646,0.0012544598,0.00027254396,0.0003673585,1.6989305e-06,0.00010671202,0.00014804183,4.188459e-05,8.561612e-05,0.00071862707,0.91446894,4.441572e-05,6.279287e-05,4.2116957e-05,0.00091677846,0.00023506605,0.009365468
sub_topic_1,4.1576986e-05,0.00029331062,6.292351e-05,0.00020697736,6.293236e-05,1.7995068e-05,3.3119435e-05,0.00012811409,5.6183715e-05,0.00012394172,0.0026548994,0.00090650667,2.582724e-05,0.00023149785,0.0017549921,0.0009324888,4.323566e-05,6.887788e-06,0.00020293637,2.6702362e-05,2.8875249e-05,0.00059539254,0.00029750465,3.8029673e-05,0.0027053044,8.353426e-05,0.001660668,2.6851245e-05,0.00020235075,2.0845982e-05,0.001145938,0.9591858,7.00769e-05,0.00090467226,0.00044493625,0.0012236314
sub_topic_2,0.0015976109,0.0013004728,0.0010193532,0.0004813504,0.0014025747,0.00046755953,0.0010930976,0.0016371133,0.46308678,0.00043567183,0.0016878239,0.0032233137,0.0005806725,0.0016799413,0.00064642186,0.0009608719,0.0010889976,8.395411e-05,0.00048717743,0.0004925347,0.00019906544,0.0011736503,0.00024349171,0.0055459547,0.001307174,0.0018087479,0.0012811855,0.0023811492,0.0010731961,0.00047913723,0.0015117327,0.0010206423,0.0075522824,0.0007229124,0.000753801,0.00044206143
sub_topic_3,8.577159e-05,3.153761e-05,2.1088828e-05,3.2809487e-05,1.6804814e-05,7.286618e-05,4.5703928e-05,3.788761e-06,5.6495473e-06,0.00094863266,7.688378e-05,1.2490164e-05,2.2289498e-05,0.96441966,6.6489534e-05,0.000769876,5.8569105e-05,1.4326317e-05,1.4016775e-05,1.1962952e-06,1.1895338e-05,6.22284e-05,9.723306e-05,1.0529968e-06,0.0002962279,1.0864065e-05,3.2251985e-05,2.1208873e-05,0.00062744174,3.120001e-05,7.864426e-06,2.6461381e-05,1.7584882e-05,0.00010704217,3.7959937e-05,3.357004e-05
sub_topic_4,0.00037733497,7.297354e-05,0.00096275535,3.81691e-05,2.6331343e-05,9.101697e-05,3.6542315e-05,1.2531324e-05,2.257858e-05,4.303846e-05,0.00041650762,0.0016748745,5.714527e-05,7.9911915e-05,5.086116e-05,0.00012540117,0.00014241117,9.9845765e-06,0.00010608796,2.1653708e-05,2.1502688e-05,0.00016051104,0.000653973,4.1129815e-06,2.2962517e-05,1.9614123e-05,0.0015189246,2.8430273e-05,0.000104343424,1.2526229e-05,0.00042796272,5.4525513e-05,0.8967992,0.92219555,0.00012772126,5.7148554e-05
sub_topic_5,0.00015478476,1.6801665e-05,0.9743186,4.3322805e-05,1.0770163e-05,0.00012359842,8.144594e-06,3.574014e-06,3.9146057e-06,3.711742e-05,0.00016970892,0.0006943328,2.1634882e-05,4.638326e-05,2.1451366e-05,5.7036003e-05,0.004627798,1.191458e-06,2.2072189e-05,1.2240873e-05,6.1669034e-06,5.7199682e-05,6.016979e-05,0.0,2.1837917e-05,8.14293e-06,0.0002545331,5.615845e-06,7.1630166e-05,2.5847996e-05,0.00055696664,1.0209101e-05,0.0012101044,0.0016331654,0.00021664044,3.913509e-05
sub_topic_6,0.00017415125,0.023948131,0.0001952625,0.000375882,3.3840035e-05,0.004917909,0.00784741,3.3724267e-05,8.585146e-06,0.0012490668,0.000103048114,6.0262795e-07,0.020004803,0.0010007967,0.00028250917,9.663503e-06,0.0033576249,0.29068553,0.000103475424,0.00024792965,0.0031897805,0.0017993039,0.0014854812,9.686096e-05,5.1911025e-05,5.2901396e-06,0.00031530688,0.00086240773,0.00018194113,0.00012448432,3.303623e-05,1.8013801e-05,0.0001813909,0.0008510601,2.2145185e-05,0.00012847196
sub_topic_7,0.00039489268,0.0003881903,0.0005802294,8.33084e-05,6.276999e-05,4.9829832e-05,0.00018246229,0.8986098,0.0007570223,0.00020409556,0.00069469627,0.0005819902,0.00015119645,0.00093220867,0.00010056653,0.00014014838,0.0003992714,1.2685996e-05,0.00020900165,0.00030463206,6.516561e-06,0.00052622834,0.00027739702,0.0053961384,0.0015369982,0.00048518597,0.00045160085,0.0011421315,0.00055630883,3.393541e-05,0.0014142867,0.0005458416,0.018755302,0.00021442006,0.00033397772,0.00033981097
sub_topic_8,0.00010840154,8.146642e-05,0.00021431703,0.00011649971,2.6355641e-05,0.00032831955,0.00021631154,4.664109e-06,6.3302573e-06,0.001500905,0.00010360568,3.828165e-05,3.0171423e-05,0.0016899277,0.00013300561,0.00037892384,9.927381e-05,2.74959e-05,5.8869646e-05,2.807998e-06,2.7979415e-05,0.00013859595,4.449919e-05,1.5995533e-05,5.025932e-05,1.0341077e-05,0.00014986438,2.080989e-05,0.97726053,0.0003215657,1.0340402e-05,5.1791394e-05,0.0002697048,0.0002012272,0.0010879778,0.00017095037
sub_topic_9,0.00024476604,0.000107564214,4.3590946e-05,8.240791e-06,5.373063e-06,0.0003213041,2.076366e-05,1.923139e-06,2.223485e-06,8.7271095e-05,0.0071257544,0.0003871696,1.000107e-05,8.3843806e-05,0.00023811027,1.7743505e-05,7.4516036e-05,7.3414296e-05,3.3458848e-05,3.8466513e-07,1.6237633e-05,0.0002994958,0.9713911,0.0,0.00034410256,7.7622315e-07,0.00016211392,4.4704557e-06,2.7138383e-05,3.741445e-06,0.0006018001,0.000176177,1.67044e-05,0.02902337,9.753472e-06,2.5732536e-05
sub_topic_10,9.347968e-05,6.1444676e-05,0.00020741625,6.896852e-05,2.6267899e-05,5.712464e-05,6.4336906e-05,0.00010332759,1.948952e-05,6.826751e-05,1.1290924e-05,3.23962e-05,7.5192715e-05,2.6947577e-05,6.707043e-06,5.0286862e-06,0.000307168,6.3882835e-05,8.03529e-05,0.84161615,0.00016372727,3.2750988e-05,7.6059405e-05,3.474947e-05,3.0504236e-05,0.0021984736,6.885365e-05,0.00034663937,2.9932131e-05,0.00012161242,2.1829957e-05,1.4793386e-05,0.005069635,1.1235615e-05,3.0266203e-05,0.00020002104
