,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36
sub_topic_0,0.00031144617,9.6526375e-05,0.0003641377,9.271398e-05,0.00017872118,0.0004786847,7.977266e-05,2.5144584e-06,5.4077127e-06,0.00057510455,6.9526424e-05,6.9282587e-06,9.5663454e-05,8.038021e-05,4.3106207e-05,1.965487e-05,0.0007563542,6.813162e-05,0.00013634986,0.0006377502,0.00026394406,7.037595e-05,5.626152e-05,0.0,5.1078307e-05,0.00010804229,2.0383615e-05,2.57553e-05,0.00021164551,0.71947217,1.4701725e-05,3.843812e-05,9.556319e-06,6.5420645e-05,3.045106e-05,0.0010008522,0.0016043348
sub_topic_1,8.7568595e-05,0.00010041568,6.5782995e-05,9.026352e-05,0.00012293238,1.8385295e-05,1.661586e-05,3.0717023e-05,0.00014139838,4.082471e-05,0.0008106475,5.8600974e-05,2.8628194e-05,8.761699e-05,0.00018121304,8.354285e-05,0.00020146242,1.007646e-05,8.953102e-05,8.154924e-06,3.305825e-05,0.0001342613,0.00019374174,2.3674449e-05,0.00020501814,2.5267476e-05,0.0016572286,4.962355e-05,7.449483e-05,1.7686165e-05,0.0004641548,0.31611526,3.4772656e-05,9.334682e-05,0.00019412494,0.0004672148,1.4171374e-05
sub_topic_2,0.0012364065,0.0014121861,0.0010420319,0.00029616078,0.00071372715,7.3157076e-05,0.0016517809,0.014409397,0.08667575,0.00030931717,0.00043210786,0.0017293199,0.00030558687,0.00092599186,0.00033138224,0.0015881987,0.0016690417,2.502815e-05,0.00011316156,0.00031041552,5.178268e-05,0.0009824528,0.00048102255,0.0009335021,0.0046649207,0.0005993456,0.0005581018,0.003153745,0.00078236917,8.586934e-05,0.00532152,0.0007979625,0.005321734,0.00031876058,0.00040130503,0.0005338474,7.1478375e-05
sub_topic_3,0.00032035162,0.0035622497,0.00013393507,0.0012415522,2.9062481e-05,0.0005464158,0.0044262707,0.0021855864,8.8192035e-05,0.003133587,0.002313013,2.1764656e-05,0.014136572,0.05283238,0.0008419756,0.0007823935,0.0025748815,0.0023099608,0.002312671,7.711732e-05,0.00035546726,0.008901709,0.014854086,0.000955559,0.000407778,7.740262e-05,0.0054814373,0.0016045752,0.0028171341,3.2856592e-06,0.0004546809,0.00148384,0.0010903827,0.0013901755,0.0011928703,0.00064360444,3.317187e-05
sub_topic_4,0.0002128018,4.3057153e-05,0.00022397896,1.9657147e-05,2.326198e-06,0.0018134441,7.73957e-06,5.1637458e-06,2.359346e-06,1.6169617e-05,5.2757227e-05,6.738214e-05,1.3746629e-05,1.7302009e-05,1.0337368e-05,3.052907e-05,1.5655261e-05,1.6537095e-05,9.254568e-06,2.2010447e-06,6.634403e-06,5.8167407e-05,0.008285882,0.0,2.8373368e-06,0.0,8.885654e-05,1.1119933e-05,3.578829e-05,4.7667036e-06,4.6963552e-05,1.1682937e-05,1.9013745e-05,0.2335438,8.55345e-05,8.694591e-06,8.840908e-05
sub_topic_5,0.0017417587,0.00019867634,0.0023272696,0.00054990064,3.1225565e-05,0.97484225,7.7765195e-05,2.0546734e-07,0.0,0.0041810586,0.00046856192,2.4195624e-05,8.097829e-05,0.0012221942,0.00012253916,0.0004377821,0.00017745832,6.584086e-05,0.0001676584,3.775906e-06,0.00023214835,0.000504222,0.00018841262,0.0,2.2519466e-06,0.0,0.000117137184,3.434892e-05,0.008071379,0.0033779088,1.33480835e-05,3.577042e-06,0.00018460919,0.0010432544,0.010806489,0.00022301245,0.00011717014
sub_topic_6,5.870171e-05,0.01031575,0.00018163753,0.00019810726,1.1958183e-05,0.00040239998,0.0028959247,1.9658579e-05,2.3143757e-06,0.0008607753,6.47271e-05,0.0,0.007809948,0.0002550177,0.0002519824,1.9492231e-06,0.0020369715,0.45989662,4.980715e-05,0.00013022426,0.0017127618,0.0010517488,0.001472302,7.144441e-05,2.5885854e-05,2.1679075e-06,0.00026111453,0.00043175765,8.767396e-05,3.928378e-05,1.9108962e-05,1.1724724e-05,4.3226886e-05,0.00022718385,2.141217e-06,6.95328e-05,0.0006851484
sub_topic_7,0.00018474275,0.00017950956,0.0002752545,2.818164e-05,1.7745635e-05,6.0434545e-06,6.544006e-05,0.66567063,0.00030275565,8.2536535e-05,0.00014612026,6.72607e-05,8.234152e-05,0.0005058122,4.6117973e-05,4.0174295e-05,0.00018825573,8.122067e-06,8.806091e-05,0.00015226877,5.625686e-06,0.0003206433,0.00019059071,0.0010850194,0.0004800386,0.00018023197,0.00015683105,0.00072826864,0.00022689211,1.8432185e-05,0.00057818455,0.00014259294,0.0011775325,0.000112387126,7.4581614e-05,0.00021053055,2.6041303e-06
sub_topic_8,2.7998916e-05,4.0759704e-05,3.170343e-05,3.9956016e-05,9.576563e-06,0.00014455793,0.00029399592,1.9615711e-06,3.1462996e-06,0.0013298037,1.2697342e-05,4.5516153e-08,9.3665585e-06,0.0007726149,0.000103499,7.031323e-05,0.00012139952,1.891705e-05,8.375023e-06,4.89541e-07,1.2457659e-05,3.6308873e-05,1.8227982e-05,1.08768845e-05,4.84671e-05,3.858025e-06,4.3433352e-05,1.1747765e-05,0.85857505,6.8981106e-05,3.765658e-06,3.303751e-05,1.7881875e-05,1.2887438e-05,3.8516948e-05,9.988575e-05,9.236284e-06
sub_topic_9,6.787838e-05,0.0008933484,0.00024553688,2.0290085e-05,1.0963033e-05,9.091782e-05,6.147323e-05,3.768409e-05,1.0257288e-05,0.0006310304,0.0026583516,5.8439033e-05,0.000101833924,0.00017267583,0.4074028,0.006700196,0.00024426795,6.565463e-05,3.9025723e-05,3.3296135e-06,6.847166e-06,0.007352678,0.0032250946,1.7873688e-05,0.0029964189,9.92693e-05,0.000981118,0.00012576916,0.0002662154,1.0535258e-05,0.003101267,0.018841831,0.00022687546,3.252813e-05,3.1205258e-05,0.00013630162,7.447296e-06
sub_topic_10,7.959603e-05,5.8855807e-05,0.0002610796,5.5975266e-05,2.086405e-05,2.3650795e-05,5.144171e-05,8.404792e-05,1.3262173e-05,5.8468013e-05,8.116024e-06,2.1992464e-06,7.626416e-05,1.2619553e-05,4.8600677e-06,2.440687e-06,0.00042358582,6.693575e-05,5.420065e-05,0.9060374,0.00029497885,2.5690551e-05,6.592219e-05,2.062014e-05,2.613107e-05,0.0022115123,4.8786373e-05,0.0002999551,2.6327098e-05,0.00014453071,1.7070046e-05,1.1216161e-05,0.00025702445,1.43195375e-05,9.3980225e-06,9.3712e-05,0.00010083223
sub_topic_11,0.0002491507,4.974593e-05,0.00020468724,0.0008557587,1.101333e-05,0.00038382655,9.4111434e-05,1.5620973e-05,4.015382e-06,0.00077820994,9.8930905e-05,1.7091252e-05,4.691384e-05,0.00030423247,0.00012002629,7.815329e-05,0.00022049565,3.2771663e-05,0.0001299111,9.502764e-06,3.6604077e-05,6.065632e-05,7.332059e-05,3.5259761e-06,8.9723915e-05,1.6814041e-05,6.716295e-05,1.7181083e-05,0.00050509255,0.14630269,3.06413e-05,0.00014572516,1.4654772e-05,3.4815446e-05,0.00010595327,0.12852246,0.0010633756
sub_topic_12,0.0001329422,0.00013762104,0.0006457774,0.00071786175,2.8873485e-05,7.4385284e-06,2.8479956e-06,4.6049126e-07,5.471707e-05,1.3288254e-06,2.0150072e-05,0.0011158808,7.372189e-07,1.4462091e-05,3.7041525e-06,1.0607777e-06,0.0008340664,1.8678556e-06,0.9836997,1.9795503e-05,4.9023132e-05,0.00020355747,2.5220794e-05,6.5872166e-07,1.1508652e-07,4.382381e-05,0.00039668195,4.274711e-06,1.1728416e-05,7.3141096e-06,1.2333463e-06,8.061281e-05,1.2487309e-05,0.00025732667,5.1689258e-05,0.00014573178,6.7042115e-06
sub_topic_13,1.2872439e-05,0.00018078012,7.4204945e-05,1.5722037e-05,1.0464734e-06,1.6731575e-06,6.562309e-05,0.0074781496,0.0004605721,2.0148387e-05,8.921016e-06,1.687052e-05,7.986394e-05,0.00019712499,4.8393995e-06,1.511652e-06,9.71797e-05,6.346564e-05,1.7608681e-05,3.5317007e-05,1.8891868e-05,0.0002768111,0.00017113883,0.34966525,5.1546787e-05,1.99784e-05,3.119916e-05,9.7583375e-05,5.925752e-05,3.9872584e-06,0.00017596832,6.578391e-05,9.6650154e-05,1.538972e-05,2.4276243e-05,0.000109268185,2.6635114e-06
sub_topic_14,5.494792e-05,0.0004555428,0.00012997788,7.242031e-05,7.203554e-05,0.00015626912,0.00027396533,0.00013775598,0.0002502983,5.227376e-05,5.152501e-05,3.5261233e-05,0.0006041131,0.00013924198,0.00015147396,5.204882e-05,0.00030624948,0.00043372746,4.0155785e-05,0.0005325195,2.1003594e-05,0.00020196053,0.00012783623,4.0821993e-05,0.00012417856,0.0002643544,9.646266e-05,0.97095835,3.8881328e-05,2.9038429e-05,0.00011487303,7.3315554e-05,0.00010130204,8.38008e-05,4.725412e-05,0.000118094584,0.0011327346
sub_topic_15,0.0003698534,0.0004987851,0.00062373764,0.0002467556,8.758721e-05,0.00047549556,0.00011825354,5.0431527e-06,2.4878012e-05,0.001241451,0.00054288685,0.0004712533,0.0005975511,0.000840804,0.37084612,0.0004656696,0.0015918445,0.0023825106,4.535883e-05,1.423464e-05,0.0005114893,0.0020620862,0.0007451699,1.4248606e-05,0.0002774057,0.00027186848,0.00051707815,0.00015085583,0.0004943657,0.00014211111,0.0002196045,2.1222873e-05,0.00011603524,0.00023962019,2.4894713e-05,0.0003839391,0.00073149573
sub_topic_16,2.2536215e-06,0.00016300374,1.8306695e-05,5.1792053e-06,1.4812548e-06,1.3548107e-05,6.328825e-05,6.8012273e-06,8.3963914e-07,1.7216335e-05,6.841195e-06,0.0,0.96613336,2.3892148e-05,2.568931e-05,1.1769598e-06,0.0004029465,0.00088738115,8.36745e-06,3.778476e-06,1.870717e-05,3.6702724e-05,1.4135357e-05,7.763777e-06,6.967103e-07,1.7853823e-07,4.463845e-05,3.695205e-05,1.3811446e-05,1.1093443e-06,1.3266134e-05,7.5359235e-06,3.6223946e-06,1.6355487e-05,3.890552e-06,7.675939e-06,1.0734932e-05
sub_topic_17,0.94438565,2.030479e-05,9.064387e-05,4.6087065e-05,1.7801283e-05,6.0623475e-05,9.99661e-06,3.4185475e-06,1.024321e-05,0.00011462438,0.0010968391,3.2696997e-05,3.3318693e-06,0.00012637996,2.215009e-05,3.334574e-05,0.00015026213,2.0891168e-06,8.087036e-05,6.8867166e-06,7.169703e-06,2.4772431e-05,0.00011670883,0.0,7.472901e-05,1.45119375e-05,5.0346876e-05,1.3926196e-05,9.549641e-05,2.9730325e-05,1.2669261e-05,1.5531588e-05,4.238409e-05,0.00019594362,3.339054e-05,6.400719e-05,7.921707e-05
sub_topic_18,0.00043332484,0.0033261764,0.00064670487,0.0005566394,3.189418e-05,0.0015229812,0.0010399916,1.6437009e-06,1.4343815e-06,0.013961553,0.00061464595,2.2567333e-06,0.0009867894,0.0003414366,0.002618899,4.1091293e-06,0.23076424,0.20309739,0.00024303964,0.00036961207,0.013474526,0.0018637395,0.00318221,0.00010294581,8.670478e-05,6.410056e-05,0.00071702077,0.00012811275,0.0005908338,0.0008660948,1.4010385e-05,2.7909411e-05,0.00031265142,0.00020217743,0.0,0.0005399317,0.0035126628
sub_topic_19,1.2330253e-05,0.00028283897,1.9697009e-05,9.171711e-05,0.0018791022,5.0655002e-05,3.7589648e-06,1.4685976e-06,3.6420544e-05,9.886964e-06,1.1320768e-05,0.0,1.0150843e-05,1.0931009e-05,3.982401e-06,0.0,6.769193e-05,2.2782844e-05,8.3948125e-06,5.946692e-05,0.16582349,0.00013888869,3.600228e-05,2.3197459e-05,1.0609123e-06,1.5433694e-05,2.3015622e-05,2.531084e-06,2.5483918e-05,7.328605e-06,0.0,9.183562e-06,0.0,6.920652e-06,0.007625594,1.4943018e-06,2.0870531e-05
sub_topic_20,0.011391178,0.0010470931,0.017092386,0.00017914586,0.00031852935,0.0010526506,0.0003591558,0.00019628582,0.0004487966,0.0008709938,0.00081400265,0.011507314,0.0006074268,0.0038753573,0.0012601455,0.22719854,3.2543074e-05,3.2092362e-06,0.00024084612,0.00032287394,3.6104864e-06,0.0017550405,0.00019536156,1.6098578e-05,0.0002321894,0.0005980207,0.0055851145,0.0013339359,0.0025248628,0.00030626074,0.001399874,0.00047816886,0.02037062,0.00720182,0.013626665,0.00031491253,0.00012719737
