,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37
sub_topic_0,0.0004884606,0.00012417889,0.00023002176,0.000148672,0.00013422879,0.00012990656,0.00013757589,1.9095125e-05,1.9725234e-05,0.0004936002,2.8878727e-05,1.6455564e-05,0.00028163486,3.953223e-05,8.249844e-05,2.2596136e-05,0.00096476986,0.00013044501,0.00012472864,0.0014904953,0.0012498146,0.00013719933,0.00018095098,0.0,8.3431696e-05,0.00014282487,6.3451844e-05,0.0009745113,6.482354e-05,0.011213806,7.129711e-05,1.45557115e-05,0.00022571585,0.000117669144,1.07099695e-05,0.0024547873,0.97028387,0.00010397278
sub_topic_1,7.4942676e-05,0.0003700241,6.877219e-05,0.00021990134,8.956249e-05,0.0002849115,3.2709813e-05,0.0001874095,8.119076e-05,0.00012572874,0.0013036754,0.00023412923,0.00011088645,0.00024047543,0.0019578116,0.0006603824,9.644165e-05,1.0576785e-05,0.00017017966,2.9904179e-05,1.0314003e-05,0.0006552626,0.00034922909,2.852578e-05,0.0029729495,0.000102604135,0.001992828,0.00016068018,0.00020100453,3.939949e-05,0.00089431216,0.96127534,9.7709766e-05,0.0014014033,0.00053241727,0.002258921,5.8010605e-06,2.127504e-05
sub_topic_2,1.1200435e-05,4.4158056e-05,1.7309796e-05,0.000798216,1.2194906e-05,0.9714189,2.124298e-05,2.0040593e-06,1.0021357e-06,3.111534e-05,1.4178548e-05,0.0,7.812981e-05,2.011069e-05,5.1093146e-05,1.5646066e-06,0.00011215855,5.9975486e-05,1.4367655e-05,7.139152e-05,0.0001768602,7.5670534e-05,2.8476707e-05,1.2384534e-05,5.7185202e-06,1.2814442e-05,0.00011244705,3.1230957e-05,5.2964402e-05,1.0855702e-05,6.332201e-06,5.60507e-05,1.8186038e-06,9.670138e-05,0.00035109333,2.4001376e-05,3.437684e-06,7.528166e-05
sub_topic_3,0.00027542864,0.00025737076,0.00022787332,0.00018290248,3.979691e-05,0.0006871533,4.6190085e-05,2.9024586e-06,4.522202e-06,0.00015894693,0.00019300648,1.8234645e-05,0.0003761129,0.00012014424,7.160173e-05,2.8283423e-05,0.0001052417,0.00024334918,4.806184e-05,1.3099409e-05,0.0001620803,0.00025512348,0.0015449211,4.204363e-06,6.5955674e-06,1.1794731e-06,0.00029875108,0.00082899275,0.00016138685,9.615572e-05,4.8689362e-05,1.8823606e-05,4.199322e-05,0.0027999973,0.00031543613,6.8168505e-05,6.014841e-05,0.91198385
sub_topic_4,0.00029286128,7.1143455e-05,0.00087489357,4.4399225e-05,2.5362904e-05,5.7592002e-05,3.2160024e-05,1.3649559e-05,2.7298249e-05,3.2946395e-05,0.0002171686,8.849401e-05,0.00019540782,7.167569e-05,4.2201234e-05,0.00010662519,0.00028598675,1.113288e-05,8.134144e-05,1.7345823e-05,7.0389624e-06,0.00012993225,0.00055842975,8.971308e-06,1.9698513e-05,1.7715936e-05,0.0019476818,0.00012073692,9.083537e-05,1.0813648e-05,0.0002374026,5.4975208e-05,0.892134,0.9028734,9.024231e-05,6.813949e-05,2.4764473e-05,0.00016856207
sub_topic_5,0.00012856688,1.541473e-05,0.95968014,3.6123987e-05,6.844903e-06,2.8170463e-05,5.3923236e-06,2.8551046e-06,2.937908e-06,2.7866985e-05,9.481178e-05,3.4441528e-05,2.1038233e-05,2.8082046e-05,1.8715416e-05,3.0250663e-05,0.014206988,1.5253675e-06,9.8785495e-06,7.640836e-06,2.272679e-06,4.7828835e-05,4.981029e-05,0.0,1.4358008e-05,5.469699e-06,0.00026442553,2.8666815e-05,4.1623225e-05,2.119941e-05,0.00037010078,7.588658e-06,0.0008453839,0.0014624469,0.00010732826,4.3960983e-05,1.1302541e-05,0.00011317793
sub_topic_6,9.7044925e-05,0.012445532,0.00019040956,0.00024792444,3.007577e-05,0.0007855478,0.0041062473,2.6240743e-05,7.464812e-06,0.0008567348,0.00010084071,4.848419e-07,0.15615278,0.00052579865,0.00058481033,1.20471395e-05,0.00061715243,0.5933585,6.5219334e-05,9.3023e-05,0.0017193408,0.0021680077,0.0014440711,0.000103432816,4.1043135e-05,5.5364367e-06,0.00078098575,0.006197469,0.00020228387,6.440898e-05,3.886813e-05,3.5934758e-05,0.00014119825,0.0009529893,8.926482e-06,0.00014469596,0.00033390016,0.0022745351
sub_topic_7,0.00078721135,0.00045735907,0.00067331025,0.00013331763,0.00019460244,0.00019800519,0.00025957706,0.99302113,0.0020184484,0.0002356228,0.00051148795,0.00032410165,0.00049421214,0.0012479062,0.0001291721,0.0003201594,0.0006136684,1.5122497e-05,0.0002990689,0.00040633164,3.933844e-06,0.0006021905,0.000381334,0.12322678,0.0019118242,0.0008686869,0.0006176387,0.0019472681,0.00073724485,0.00010666726,0.001818202,0.0008496051,0.016014144,0.00039800612,0.00035820834,0.00084985944,5.2955675e-05,0.00029055378
sub_topic_8,7.314553e-05,7.982856e-05,9.8427045e-05,7.122548e-05,1.7431363e-05,0.00036160197,0.00025606103,4.8505053e-06,8.072871e-06,0.0012988268,3.8653096e-05,4.5969123e-06,7.626401e-05,0.001033677,0.00012528057,0.00014152209,0.00011663328,3.5150413e-05,2.4499983e-05,1.7176928e-06,1.2037941e-05,0.00011070415,3.9257025e-05,1.0294663e-05,5.461846e-05,7.870108e-06,0.0001706352,5.8228885e-05,0.9520433,0.0003401511,7.6197434e-06,4.373453e-05,0.00020699989,8.860716e-05,0.00033977657,0.00018130572,9.726021e-06,0.0003520721
sub_topic_9,0.0021605943,0.0002410018,6.549871e-05,2.7877666e-05,3.52001e-06,2.2876764e-05,1.4860485e-05,4.793976e-06,2.1015758e-06,0.00021332169,0.9780767,0.00017528335,9.383925e-06,9.479318e-05,0.00045935376,6.773427e-05,6.951586e-05,2.0966014e-05,3.367024e-05,0.0,1.2041289e-06,0.0003615107,0.003730396,0.0,0.0006774643,7.478072e-07,0.00020453843,2.9829887e-05,8.531377e-05,1.7941677e-05,0.0003192075,0.00041981676,3.608019e-05,0.024671413,5.0433486e-05,8.085721e-05,1.4455624e-05,0.00012572097
