,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38
sub_topic_0,0.005993187,0.0006228086,0.003692639,0.00029573485,0.0012868918,0.0035543211,0.0001963992,9.82065e-06,7.66244e-05,0.0070301066,0.0012106285,0.000101376696,0.00025101015,0.0011174742,0.00040488146,0.00011118343,0.001361393,0.00010069999,0.0003097073,0.0001537043,0.0003647542,0.0004731713,0.00042211465,0.0,0.000679838,0.00015110598,0.00022930659,0.0030101622,0.0016379,0.0024909351,0.00012887809,0.00026660788,0.00022566122,0.0007716528,0.00051042787,0.0041496675,0.6193919,0.003740672,0.0029302377
sub_topic_1,0.0003374556,0.0005830473,0.0004644142,0.00011817738,0.82436883,0.00027448285,0.00022418596,0.00061880896,0.0002519284,0.0005551355,0.0005424931,0.00020894535,9.914198e-05,0.00043306,0.0005806229,0.0002944106,0.00047163668,2.3739654e-05,5.3762997e-05,0.00030533405,3.8724036e-05,0.00043117674,0.0010928846,0.00021752932,0.013304225,0.0016196374,0.00013570403,0.0039508515,0.00044775385,9.833008e-05,0.0031053128,0.0038953628,0.0003486256,0.00013162653,0.00013948043,0.00071912346,0.00077276485,0.00014710186,0.00013709991
sub_topic_2,0.0033171712,0.00072064047,0.0015867929,0.000180224,0.14626715,0.0005401709,0.0021664102,0.012329657,0.04378257,0.0005358893,0.0005605304,0.004191821,0.0005405452,0.0014341753,0.00057546917,0.00320606,0.0010071783,2.273655e-05,0.00027278243,0.0016342443,2.9423642e-05,0.0010565933,0.00045778605,0.002284732,0.0052094334,0.010271512,0.0011900244,0.05056779,0.0011056786,0.00085995905,0.0056781783,0.0030906112,0.0040246174,0.00085997966,0.0025015727,0.0010486254,0.0014508757,0.0007126145,0.00093270495
sub_topic_3,1.5922997e-05,9.632239e-05,1.0330017e-05,5.3009926e-06,1.0987966e-05,3.0276267e-05,4.499704e-05,2.9125572e-06,9.61031e-06,0.00012676182,1.38386185e-05,9.3919795e-07,6.4401866e-05,0.0035546303,6.16642e-05,4.055733e-05,1.4078084e-05,0.000101426594,1.1468676e-05,4.1920343e-06,2.0422083e-05,8.3452556e-05,4.73122e-05,3.0749177e-06,2.6049278e-05,9.295264e-06,1.8535777e-05,0.00018583833,0.00015011053,1.830697e-05,1.2199186e-05,1.0210865e-05,4.1303306e-06,1.676153e-05,5.5283604e-06,7.355547e-06,0.35331523,3.841318e-05,5.8339283e-05
sub_topic_4,0.010603452,0.0010638827,0.0062498255,0.00016749313,5.0527193e-05,0.00011276631,0.0006716953,0.0005225467,0.00024403525,0.0006992719,0.0008260571,0.0003014752,0.00040036204,0.0013217789,0.00018580686,0.0021504357,0.0003293833,2.2390877e-05,0.00012675479,0.0007833243,1.2787392e-05,0.0011039954,0.00090999354,0.0010555958,1.9238038e-05,0.0002715198,0.03283544,0.00051134726,0.0019700248,6.8415204e-05,0.0004193757,1.695908e-05,0.38827392,0.003732363,0.0014036392,0.0004958973,0.00011147094,0.0014047099,0.00022247568
sub_topic_5,0.006822262,0.0004935353,0.049730293,0.00011271407,9.912734e-05,0.0023678925,0.00035635257,0.00016699337,2.881963e-05,0.0027438838,0.0022290344,0.00010163084,0.00022231507,0.0017650666,0.0006895626,0.0042341845,0.00023148727,3.4620207e-05,0.00014198438,9.1564245e-05,8.004085e-06,0.0010580664,0.0004013984,7.778747e-06,9.6659685e-05,0.000107954475,0.0025984428,0.0007470387,0.007851275,0.004252454,0.00044974874,0.00019252981,0.0018342203,0.0042695575,0.195408,0.000590124,0.0013661538,0.00680907,0.0014777302
sub_topic_6,9.7202166e-05,0.009374013,0.00024996404,0.00091451296,1.58904e-05,0.0019189045,0.002911029,1.9054836e-05,3.3248746e-06,0.00092469034,0.00032318625,0.0,0.0035797826,0.00031444276,0.0010345028,7.329891e-06,0.0036679192,0.9329344,2.7675362e-05,0.00012936103,0.007572998,0.0027275565,0.0022660436,4.893076e-05,6.0103714e-05,1.9543246e-05,0.00053410616,0.0045147305,0.0002746894,8.330091e-06,2.1597667e-05,4.3126816e-05,8.307529e-05,0.00026685727,8.744083e-07,8.655433e-05,0.0010006935,0.0026893714,0.00031783577
sub_topic_7,0.00018569826,0.0001693751,0.00019466862,2.0889107e-05,0.0013107677,6.130083e-05,7.63809e-05,0.6632709,0.00016495767,0.00010228047,0.00021822039,8.829635e-05,9.3134266e-05,0.0006245228,6.649565e-05,5.314387e-05,9.020923e-05,2.2803233e-05,7.805098e-05,0.00013275359,0.0,0.0003096629,0.00027534438,0.1671381,0.0002812715,0.0001239503,0.00021909238,0.0001031442,0.00019707333,9.902625e-06,0.00037168505,0.00019545002,0.0009788945,9.16906e-05,4.4418233e-05,0.00019570447,2.139603e-05,9.223004e-05,3.3480734e-05
sub_topic_8,1.9756839e-05,5.2741198e-05,3.5068675e-05,2.7396056e-05,1.0594448e-05,0.00032032677,0.00017799616,1.2539448e-06,3.7814093e-06,0.0009595648,7.971645e-06,0.0,1.4977072e-05,0.0005768494,7.152374e-05,7.0833994e-05,2.5576981e-05,3.567203e-05,5.9309136e-06,7.520231e-07,1.1533513e-05,5.616078e-05,2.5387197e-05,5.3159865e-06,3.1554868e-05,6.4339174e-06,5.6775592e-05,3.127045e-05,0.9676427,7.037197e-05,2.982542e-06,3.0139969e-05,1.0706768e-05,1.6173712e-05,0.00015030378,6.404109e-05,5.769232e-05,3.9327937e-05,0.00011295722
sub_topic_9,3.3118024e-05,0.00028155788,4.1479245e-05,5.4780794e-05,0.00036203262,0.00023857655,1.7819493e-05,9.214732e-05,3.2727276e-05,6.355997e-05,0.00066444103,0.00014354648,2.7374284e-05,0.000107746164,0.001077164,0.00038225352,2.4289156e-05,1.0797865e-05,0.000103328406,2.3484996e-05,1.7131383e-06,0.00039100685,0.00028859416,1.4324747e-05,0.0014800689,5.2133742e-05,0.0017276747,6.440429e-05,8.8617606e-05,8.241999e-06,0.0005426165,0.95166194,1.7344188e-05,0.00015768754,0.00022138919,0.0011666939,2.2075483e-05,1.801539e-05,0.00016800938
